shortName	ensemblName	completeName	color.RGB	color.Hex
dog	clfamiliaris	Canis_lupus_familiaris	72,97,125	#48617D
horse	ecaballus	Equus_caballus	83,138,119	#538A77
cow	btaurus	Bos_taurus	146,183,113	#92B771
goat	chircus	Capra_hircus	187,210,166	#BBD2A6
pig	sscrofa	Sus_scrofa	233,143,83	#E98F53
mouse	mmusculus	Mus_musculus	193,193,193	#C1C1C1
human	hsapiens	Homo_sapiens	100,100,100	#646464
ostrich	scaustralis	Struthio_camelus_australis	188,165,229	#BCA5E5
zebrafinch	tguttata	Taeniopygia_guttata	221,135,192	#DD87C0
duck	applatyrhynchos	Anas_platyrhynchos_platyrhynchos	225,204,240	#E1CCF0
turkey	mgallopavo	Meleagris_gallopavo	188,143,221	#BC8FDD
chicken	ggallus	Gallus_Gallus	213,166,64	#D5A640
zebrafish	drerio	Danio_rerio	38,38,38	#262626
