shortName	ensemblName	completeName	pathToGTF
human	hsapiens	Homo_sapiens	/home/fabien/Rocco/0_referenceFiles/human_HSA/GRCh38.p13/02_genomeAnnotation/Homo_sapiens.GRCh38.109.gtf
mouse	mmusculus	Mus_musculus	/home/fabien/Rocco/0_referenceFiles/mouse_MMU/GRCm39/02_genomeAnnotation/Mus_musculus.GRCm39.109.gtf 
dog	clfamiliaris	Canis_lupus_familiaris	/home/fabien/Rocco/0_referenceFiles/dog_CLF/ROS_Cfam_1.0/02_genomeAnnotation/Canis_lupus_familiaris.ROS_Cfam_1.0.109.gtf
horse	ecaballus	Equus_caballus	/home/fabien/Rocco/0_referenceFiles/horse_ECA/EquCab3.0/02_genomeAnnotation/Equus_caballus.EquCab3.0.109.gtf
cow	btaurus	Bos_taurus	/home/fabien/Rocco/0_referenceFiles/cow_BTA/ARS-UCD1.2/02_genomeAnnotation/Bos_taurus.ARS-UCD1.2.109.gtf
goat	chircus	Capra_hircus	/home/fabien/Rocco/0_referenceFiles/goat_CHI/ARS1/02_genomeAnnotation/Capra_hircus.ARS1.109.gtf
pig	sscrofa	Sus_scrofa	/home/fabien/Rocco/0_referenceFiles/pig_SSC/Sscrofa11.1/02_genomeAnnotation/Sus_scrofa.Sscrofa11.1.109.gtf
chicken	ggallus	Gallus_Gallus	/home/fabien/2_homology_2023/data/Gallus_Gallus.GRCg7b.enrichedAtlas.gtf
turkey	mgallopavo	Meleagris_gallopavo	/home/fabien/Rocco/0_referenceFiles/turkey_MGA/Turkey_5.1/02_genomeAnnotation/Meleagris_gallopavo.Turkey_5.1.109.gtf
zebrafinch	tguttata	Taeniopygia_guttata	/home/fabien/Rocco/0_referenceFiles/zebrafinch_TGU/bTaeGut1_v1.p/02_genomeAnnotation/Taeniopygia_guttata.bTaeGut1_v1.p.109.gtf
zebrafish	drerio	Danio_rerio	/home/fabien/Rocco/0_referenceFiles/zebrafish_DRE/GRCz11/02_genomeAnnotation/Danio_rerio.GRCz11.109.gtf
ostrich	scaustralis	Struthio_camelus_australis	/home/fabien/Rocco/0_referenceFiles/ostrich_SCA/ASM69896v1/02_genomeAnnotation/Struthio_camelus_australis.ASM69896v1.109.gtf
duck	applatyrhynchos	Anas_platyrhynchos_platyrhynchos	/home/fabien/Rocco/0_referenceFiles/duck_APP/CAU_duck1.0/02_genomeAnnotation/Anas_platyrhynchos_platyrhynchos.CAU_duck1.0.109.gtf
