strict	inter1	inter2	open1	open2
lincConv	lincConv	lincConv	Conv	AS
lincDivg	lincDivg	lincDivg	AS	AS
lincDivg_n.1.n	lincDivg	lincDivg	AS	AS
lincDivg_n.n.n	lincDivg	lincDivg	AS	AS
lincSS	lincSS	lincSS	SS	SS
lincSSdw	lincSSdw	lincSS	SS	SS
lincSSdw_n.1.n	lincSSdw	lincSS	SS	SS
lincSSdw_n.n.n	lincSSdw	lincSS	SS	SS
lincSSup	lincSSup	lincSS	SS	SS
lincSSup_n.1.n	lincSSup	lincSS	SS	SS
lincSSup_n.n.n	lincSSup	lincSS	SS	SS
lncgASex	lncgASex	lncgAS	AS	AS
lncgASexCont	lncgASexCont	lncgAS	AS	AS
lncgASexCont_n.1.n	lncgASexCont	lncgAS	AS	AS
lncgASexCont_n.n.n	lncgASexCont	lncgAS	AS	AS
lncgASexNest	lncgASexNest	lncgAS	AS	AS
lncgASexNest_n.1.n	lncgASexNest	lncgAS	AS	AS
lncgASexNest_n.n.n	lncgASexNest	lncgAS	AS	AS
lncgASexOvlp	lncgASexOvlp	lncgAS	AS	AS
lncgASexOvlp_n.1.n	lncgASexOvlp	lncgAS	AS	AS
lncgASexOvlp_n.n.n	lncgASexOvlp	lncgAS	AS	AS
lncgASin	lncgASin	lncgAS	AS	AS
lncgASinCont	lncgASinCont	lncgAS	AS	AS
lncgASinCont_n.1.n	lncgASinCont	lncgAS	AS	AS
lncgASinCont_n.n.n	lncgASinCont	lncgAS	AS	AS
lncgASinNest	lncgASinNest	lncgAS	AS	AS
lncgASinNest_n.1.n	lncgASinNest	lncgAS	AS	AS
lncgASinNest_n.n.n	lncgASinNest	lncgAS	AS	AS
lncgASinOvlp	lncgASinOvlp	lncgAS	AS	AS
lncgASinOvlp_n.1.n	lncgASinOvlp	lncgAS	AS	AS
lncgASinOvlp_n.n.n	lncgASinOvlp	lncgAS	AS	AS
lncgSSex	lncgSSex	lncgSS	SS	SS
lncgSSexCont	lncgSSexCont	lncgSS	SS	SS
lncgSSexCont_n.1.n	lncgSSexCont	lncgSS	SS	SS
lncgSSexCont_n.n.n	lncgSSexCont	lncgSS	SS	SS
lncgSSexNest	lncgSSexNest	lncgSS	SS	SS
lncgSSexNest_n.1.n	lncgSSexNest	lncgSS	SS	SS
lncgSSexNest_n.n.n	lncgSSexNest	lncgSS	SS	SS
lncgSSexOvlp	lncgSSexOvlp	lncgSS	SS	SS
lncgSSexOvlp_n.1.n	lncgSSexOvlp	lncgSS	SS	SS
lncgSSexOvlp_n.n.n	lncgSSexOvlp	lncgSS	SS	SS
lncgSSin	lncgSSin	lncgSS	SS	SS
lncgSSinCont	lncgSSinCont	lncgSS	SS	SS
lncgSSinCont_n.1.n	lncgSSinCont	lncgSS	SS	SS
lncgSSinCont_n.n.n	lncgSSinCont	lncgSS	SS	SS
lncgSSinNest	lncgSSinNest	lncgSS	SS	SS
lncgSSinNest_n.1.n	lncgSSinNest	lncgSS	SS	SS
lncgSSinNest_n.n.n	lncgSSinNest	lncgSS	SS	SS
lncgSSinOvlp	lncgSSinOvlp	lncgSS	SS	SS
lncgSSinOvlp_n.1.n	lncgSSinOvlp	lncgSS	SS	SS
lncgSSinOvlp_n.n.n	lncgSSinOvlp	lncgSS	SS	SS
