lncRNA.Homo_sapiens	PCG_left.Homo_sapiens	PCG_right.Homo_sapiens	lncRNA_strand.Homo_sapiens	PCG_left_strand.Homo_sapiens	PCG_right_strand.Homo_sapiens	lncRNA_PCG_left_distance.Homo_sapiens	lncRNA_PCG_right_distance.Homo_sapiens	lncRNA.Mus_musculus	PCG_left.Mus_musculus	PCG_right.Mus_musculus	lncRNA_strand.Mus_musculus	PCG_left_strand.Mus_musculus	PCG_right_strand.Mus_musculus	lncRNA_PCG_left_distance.Mus_musculus	lncRNA_PCG_right_distance.Mus_musculus	PCG_strandCouple	type
ENSG00000260972;ENSG00000284674	ENSG00000196581	ENSG00000131697	+;+	+	-	838369;318772	369833;889430	ENSMUSG00000085648	ENSMUSG00000039577	ENSMUSG00000039546	-	+	-	668884	227631	reverse	many_to_one
ENSG00000284616;ENSG00000231510;ENSG00000284739;ENSG00000287586;ENSG00000284692;ENSG00000284666;ENSG00000236948;ENSG00000289893	ENSG00000196581	ENSG00000131697	-;-;-;-;-;-;-;-	+	-	 647319; 431850; 309345;  75602; 824127; 826178; 907100;1078749	 560883; 776352; 898857;1132600; 384075; 382024; 301102; 129453	ENSMUSG00000073699;ENSMUSG00000087454	ENSMUSG00000039577	ENSMUSG00000039546	+;+	+	-	220834;741470	675681;155045	reverse	many_to_many_DifferentNumber
ENSG00000232596;ENSG00000235054;ENSG00000284668;ENSG00000233304;ENSG00000236423	ENSG00000198912	ENSG00000196581	+;+;+;+;+	-	+	682356;522902; 87008; 51361; 11222	 83128;242582;678476;714123;754262	ENSMUSG00000086272;ENSMUSG00000121000	ENSMUSG00000039546	ENSMUSG00000047613	-;-	-	+	574412;249993	  9604;334023	reverse	many_to_many_DifferentNumber
ENSG00000226374;ENSG00000284694;ENSG00000284703;ENSG00000227169	ENSG00000198912	ENSG00000196581	-;-;-;-	-	+	 55422;590006;123796;662610	710062;175478;641688;102874	ENSMUSG00000085390	ENSMUSG00000039546	ENSMUSG00000047613	+	-	+	534165	49851	reverse	many_to_one
