lncRNAid_Canis_lupus_familiaris	isTable_1_Homo_sapiens	orthology_type_synteny_Homo_sapiens	lncRNA_synteny_id_Homo_sapiens	isTable_2_Homo_sapiens	orthology_type_configuration_Homo_sapiens	configuration_type_configuration_Homo_sapiens	lncRNA_configuration_id_Homo_sapiens	isTable_3_Homo_sapiens	isTable_1_Mus_musculus	orthology_type_synteny_Mus_musculus	lncRNA_synteny_id_Mus_musculus	isTable_2_Mus_musculus	orthology_type_configuration_Mus_musculus	configuration_type_configuration_Mus_musculus	lncRNA_configuration_id_Mus_musculus	isTable_3_Mus_musculus	sumIsTable	sumIsTable_1	sumIsTable_2	sumIsTable_3
ENSCAFG00845000003	0	NA	NA	0	NA	NA	NA	0	1	many_to_one	ENSMUSG00000095123	1	one_to_one	lncgDivg	ENSMUSG00000095123	0	2	1	1	0
ENSCAFG00845000005	0	NA	NA	0	NA	NA	NA	0	1	many_to_one	ENSMUSG00000095123	0	NA	NA	NA	0	1	1	0	0
ENSCAFG00845000006	1	one_to_one	ENSG00000285652	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	0	1	1	0	0
ENSCAFG00845000010	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	2	0	0	2
