lncRNA.Mus_musculus	lncRNA.Canis_lupus_familiaris	orthology_type.Mus_musculus.Canis_lupus_familiaris	lncRNA.Homo_sapiens	orthology_type.Mus_musculus.Homo_sapiens	nbTotalIndication	profilIndication
ENSMUSG00000009551	NA	NA	ENSG00000286196	one_to_one	1	one_to_one:1
ENSMUSG00000010492	ENSCAFG00845018871	one_to_one	ENSG00000280213	one_to_one	2	one_to_one:2
ENSMUSG00000020703	NA	NA	ENSG00000263571;ENSG00000264643;ENSG00000263435;ENSG00000264990;ENSG00000265125;ENSG00000266535;ENSG00000264791;ENSG00000265115;ENSG00000265697;ENSG00000265689	many_to_many	1	many_to_many:1
ENSMUSG00000020812	ENSCAFG00845017031	one_to_one	NA	NA	1	one_to_one:1
ENSMUSG00000020992	NA	NA	ENSG00000258857	one_to_one	1	one_to_one:1
ENSMUSG00000021101	NA	NA	ENSG00000258630	one_to_one	1	one_to_one:1
ENSMUSG00000021600	NA	NA	ENSG00000250529;ENSG00000251426	one_to_many	1	one_to_many:1
ENSMUSG00000022187	ENSCAFG00845006164	one_to_one	NA	NA	1	one_to_one:1
ENSMUSG00000022288	NA	NA	ENSG00000253629	many_to_one	1	many_to_one:1
ENSMUSG00000024658	NA	NA	ENSG00000255126;ENSG00000255118	one_to_many	1	one_to_many:1
ENSMUSG00000025450	NA	NA	ENSG00000248554;ENSG00000248240	one_to_many	1	one_to_many:1
ENSMUSG00000025783	NA	NA	ENSG00000197308	many_to_one	1	many_to_one:1
ENSMUSG00000027196	NA	NA	ENSG00000244926	one_to_one	1	one_to_one:1
ENSMUSG00000027345	NA	NA	ENSG00000276688	one_to_one	1	one_to_one:1
ENSMUSG00000028612	NA	NA	ENSG00000234578;ENSG00000232762;ENSG00000225675;ENSG00000228838	many_to_many	1	many_to_many:1
ENSMUSG00000029360	NA	NA	ENSG00000257279;ENSG00000274554	one_to_many	1	one_to_many:1
ENSMUSG00000029837	NA	NA	ENSG00000289438	one_to_one	1	one_to_one:1
ENSMUSG00000030623	NA	NA	ENSG00000255471	one_to_one	1	one_to_one:1
ENSMUSG00000030664	NA	NA	ENSG00000254878	many_to_one	1	many_to_one:1
ENSMUSG00000031510	NA	NA	ENSG00000225870	one_to_one	1	one_to_one:1
ENSMUSG00000031736	NA	NA	ENSG00000289307;ENSG00000245694	one_to_many	1	one_to_many:1
ENSMUSG00000033731	NA	NA	ENSG00000258920;ENSG00000258380;ENSG00000259073;ENSG00000258699;ENSG00000258752;ENSG00000277801	many_to_many	1	many_to_many:1
ENSMUSG00000034587	NA	NA	ENSG00000254835	one_to_one	1	one_to_one:1
ENSMUSG00000034764	NA	NA	ENSG00000197301;ENSG00000256083	many_to_many_strict	1	many_to_many_strict:1
ENSMUSG00000037535	ENSCAFG00845005022	one_to_one	NA	NA	1	one_to_one:1
ENSMUSG00000037735	NA	NA	ENSG00000235497;ENSG00000224361;ENSG00000283031	one_to_many	1	one_to_many:1
ENSMUSG00000037982	NA	NA	ENSG00000250326	one_to_one	1	one_to_one:1
ENSMUSG00000038152	NA	NA	ENSG00000229931;ENSG00000272341	many_to_many	1	many_to_many:1
ENSMUSG00000038408	NA	NA	ENSG00000261730	one_to_one	1	one_to_one:1
ENSMUSG00000038491	ENSCAFG00845016096	one_to_one	NA	NA	1	one_to_one:1
ENSMUSG00000038917	NA	NA	ENSG00000285534	many_to_one	1	many_to_one:1
ENSMUSG00000041878	NA	NA	ENSG00000235319	many_to_one	1	many_to_one:1
ENSMUSG00000042579	NA	NA	ENSG00000229780	one_to_one	1	one_to_one:1
ENSMUSG00000043168	NA	NA	ENSG00000228835	one_to_one	1	one_to_one:1
ENSMUSG00000043644	NA	NA	ENSG00000229848;ENSG00000289182	one_to_many	1	one_to_many:1
ENSMUSG00000043794	NA	NA	ENSG00000272159	one_to_one	1	one_to_one:1
ENSMUSG00000043833	NA	NA	ENSG00000290095;ENSG00000239911;ENSG00000242048	many_to_many	1	many_to_many:1
ENSMUSG00000043993	NA	NA	ENSG00000263271	many_to_one	1	many_to_one:1
ENSMUSG00000044062	NA	NA	ENSG00000286424	one_to_one	1	one_to_one:1
ENSMUSG00000044387	NA	NA	ENSG00000289159	one_to_one	1	one_to_one:1
ENSMUSG00000044544	NA	NA	ENSG00000250748	one_to_one	1	one_to_one:1
ENSMUSG00000044633	NA	NA	ENSG00000246363	one_to_one	1	one_to_one:1
ENSMUSG00000044694	NA	NA	ENSG00000196167	one_to_one	1	one_to_one:1
ENSMUSG00000045008	NA	NA	ENSG00000234206	many_to_one	1	many_to_one:1
ENSMUSG00000045075	NA	NA	ENSG00000250948	one_to_one	1	one_to_one:1
ENSMUSG00000045178	ENSCAFG00845019009	many_to_one	ENSG00000241648;ENSG00000239519	many_to_many_strict	2	many_to_many_strict:1;many_to_one:1
ENSMUSG00000045238	ENSCAFG00845017649	one_to_one	ENSG00000248719	one_to_one	2	one_to_one:2
ENSMUSG00000045339	NA	NA	ENSG00000259580	many_to_one	1	many_to_one:1
ENSMUSG00000045464	NA	NA	ENSG00000254907	one_to_one	1	one_to_one:1
ENSMUSG00000045815	NA	NA	ENSG00000229797	one_to_one	1	one_to_one:1
ENSMUSG00000045928	NA	NA	ENSG00000261045	many_to_one	1	many_to_one:1
ENSMUSG00000046085	NA	NA	ENSG00000254508;ENSG00000255272	one_to_many	1	one_to_many:1
ENSMUSG00000046413	NA	NA	ENSG00000277559;ENSG00000283689	one_to_many	1	one_to_many:1
ENSMUSG00000046415	NA	NA	ENSG00000267480	one_to_one	1	one_to_one:1
ENSMUSG00000046840	NA	NA	ENSG00000226812	one_to_one	1	one_to_one:1
ENSMUSG00000047046	NA	NA	ENSG00000242049	one_to_one	1	one_to_one:1
ENSMUSG00000047807	NA	NA	ENSG00000272384	many_to_one	1	many_to_one:1
ENSMUSG00000047935	NA	NA	ENSG00000224243	one_to_one	1	one_to_one:1
ENSMUSG00000047938	NA	NA	ENSG00000272834;ENSG00000232564	one_to_many	1	one_to_many:1
ENSMUSG00000047988	NA	NA	ENSG00000276170	one_to_one	1	one_to_one:1
ENSMUSG00000048603	NA	NA	ENSG00000272525	one_to_one	1	one_to_one:1
ENSMUSG00000048636	NA	NA	ENSG00000241158;ENSG00000241684	many_to_many	1	many_to_many:1
ENSMUSG00000049476	NA	NA	ENSG00000253112	one_to_one	1	one_to_one:1
ENSMUSG00000050179	ENSCAFG00845001903	one_to_one	NA	NA	1	one_to_one:1
ENSMUSG00000050334	ENSCAFG00845017914	one_to_one	ENSG00000250377;ENSG00000245526	one_to_many	2	one_to_many:1;one_to_one:1
ENSMUSG00000051008	NA	NA	ENSG00000226746;ENSG00000237328;ENSG00000223979	one_to_many	1	one_to_many:1
ENSMUSG00000051638	NA	NA	ENSG00000285923	one_to_one	1	one_to_one:1
ENSMUSG00000051729	NA	NA	ENSG00000241359	one_to_one	1	one_to_one:1
ENSMUSG00000051788	NA	NA	ENSG00000231246	one_to_one	1	one_to_one:1
ENSMUSG00000052143	NA	NA	ENSG00000259532	one_to_one	1	one_to_one:1
ENSMUSG00000052188	NA	NA	ENSG00000237410;ENSG00000289058	one_to_many	1	one_to_many:1
ENSMUSG00000052248	NA	NA	ENSG00000232606;ENSG00000283118;ENSG00000238057	one_to_many	1	one_to_many:1
ENSMUSG00000052368	NA	NA	ENSG00000234948	many_to_one	1	many_to_one:1
