lncRNAid_Canis_lupus_familiaris	isTable_1_Mus_musculus	orthology_type_synteny_Mus_musculus	lncRNA_synteny_id_Mus_musculus	isTable_2_Mus_musculus	orthology_type_configuration_Mus_musculus	configuration_type_configuration_Mus_musculus	lncRNA_configuration_id_Mus_musculus	isTable_3_Mus_musculus
ENSCAFG00845020093	1	one_to_one	ENSMUSG00000085568	0	NA	NA	NA	1
ENSCAFG00845024529	1	one_to_one	ENSMUSG00000085284	1	one_to_one	lncgDivg	ENSMUSG00000085284	0
ENSCAFG00845000003	1	many_to_one	ENSMUSG00000095123	1	one_to_one	lncgDivg	ENSMUSG00000095123	0
ENSCAFG00845000005	1	many_to_one	ENSMUSG00000095123	0	NA	NA	NA	0
ENSCAFG00845000012	1	many_to_one	ENSMUSG00000112707	0	NA	NA	NA	1
ENSCAFG00845000015	1	many_to_one	ENSMUSG00000112707	0	NA	NA	NA	1
ENSCAFG00845000022	1	many_to_one	ENSMUSG00000118373	1	one_to_one	lincSS.up	ENSMUSG00000118373	1
ENSCAFG00845000023	1	many_to_one	ENSMUSG00000118373	0	NA	NA	NA	1
ENSCAFG00845000025	1	one_to_one	ENSMUSG00000099843	0	NA	NA	NA	1
ENSCAFG00845000035	1	one_to_one	ENSMUSG00000112469	0	NA	NA	NA	1
ENSCAFG00845000051	1	many_to_many_sameNumber	ENSMUSG00000118293;ENSMUSG00000118047;ENSMUSG00000118090	1	one_to_one	lincSS.up	ENSMUSG00000118090	1
ENSCAFG00845000053	1	many_to_many_sameNumber	ENSMUSG00000118293;ENSMUSG00000118047;ENSMUSG00000118090	0	NA	NA	NA	1
ENSCAFG00845000054	1	many_to_many_sameNumber	ENSMUSG00000118293;ENSMUSG00000118047;ENSMUSG00000118090	0	NA	NA	NA	1
ENSCAFG00845000049	1	one_to_one	ENSMUSG00000118086	0	NA	NA	NA	1
ENSCAFG00845000055	1	many_to_many_DifferentNumber	ENSMUSG00000118070;ENSMUSG00000120406	1	one_to_many	lncgDivg	ENSMUSG00000120406;ENSMUSG00000118070	1
ENSCAFG00845000059	1	many_to_many_DifferentNumber	ENSMUSG00000118070;ENSMUSG00000120406	0	NA	NA	NA	1
ENSCAFG00845000062	1	many_to_many_DifferentNumber	ENSMUSG00000118070;ENSMUSG00000120406	0	NA	NA	NA	1
ENSCAFG00845000057	1	one_to_one	ENSMUSG00000118379	0	NA	NA	NA	1
ENSCAFG00845000262	1	one_to_many	ENSMUSG00000098720;ENSMUSG00000118268;ENSMUSG00000118262;ENSMUSG00000117717;ENSMUSG00000118300;ENSMUSG00000118363;ENSMUSG00000118073;ENSMUSG00000118254;ENSMUSG00000117923;ENSMUSG00000118279	1	one_to_one	lncgDivg	ENSMUSG00000098720	0
ENSCAFG00845000300	1	one_to_one	ENSMUSG00000109165	1	one_to_one	lncgSS.dw	ENSMUSG00000109165	0
ENSCAFG00845000332	1	one_to_one	ENSMUSG00000116874	0	NA	NA	NA	1
ENSCAFG00845000622	1	one_to_many	ENSMUSG00000118339;ENSMUSG00000117976;ENSMUSG00000100430;ENSMUSG00000118333;ENSMUSG00000117993;ENSMUSG00000117715;ENSMUSG00000118060;ENSMUSG00000118175;ENSMUSG00000117658;ENSMUSG00000118200;ENSMUSG00000118024	0	NA	NA	NA	0
ENSCAFG00845000805	1	many_to_one	ENSMUSG00000117685	0	NA	NA	NA	1
ENSCAFG00845000810	1	many_to_one	ENSMUSG00000117685	0	NA	NA	NA	1
ENSCAFG00845000819	1	many_to_one	ENSMUSG00000117685	0	NA	NA	NA	1
ENSCAFG00845000824	1	many_to_one	ENSMUSG00000117685	1	one_to_one	lincDivg	ENSMUSG00000117685	1
ENSCAFG00845001860	1	one_to_one	ENSMUSG00000120425	1	one_to_one	lncgSS.dw	ENSMUSG00000120425	1
ENSCAFG00845002055	1	one_to_one	ENSMUSG00000078247	0	NA	NA	NA	1
ENSCAFG00845002554	1	one_to_many	ENSMUSG00000118028;ENSMUSG00000120532	0	NA	NA	NA	0
ENSCAFG00845002599	1	one_to_one	ENSMUSG00000099384	0	NA	NA	NA	0
ENSCAFG00845002705	1	one_to_one	ENSMUSG00000054006	0	NA	NA	NA	1
ENSCAFG00845002801	1	many_to_one	ENSMUSG00000097735	0	NA	NA	NA	1
ENSCAFG00845002804	1	many_to_one	ENSMUSG00000097735	0	NA	NA	NA	1
ENSCAFG00845002809	1	many_to_one	ENSMUSG00000097735	0	NA	NA	NA	1
ENSCAFG00845002795	1	many_to_one	ENSMUSG00000089952	0	NA	NA	NA	1
ENSCAFG00845002807	1	many_to_one	ENSMUSG00000089952	0	NA	NA	NA	1
ENSCAFG00845003214	1	one_to_one	ENSMUSG00000097101	1	one_to_one	lncgDivg	ENSMUSG00000097101	1
ENSCAFG00845004085	1	many_to_one	ENSMUSG00000090232	0	NA	NA	NA	1
ENSCAFG00845004102	1	many_to_one	ENSMUSG00000090232	0	NA	NA	NA	1
ENSCAFG00845004104	1	many_to_one	ENSMUSG00000090232	0	NA	NA	NA	0
ENSCAFG00845004120	1	many_to_one	ENSMUSG00000090232	0	NA	NA	NA	1
ENSCAFG00845004078	1	many_to_one	ENSMUSG00000089854	0	NA	NA	NA	1
ENSCAFG00845004093	1	many_to_one	ENSMUSG00000089854	0	NA	NA	NA	0
ENSCAFG00845004116	1	many_to_one	ENSMUSG00000089854	0	NA	NA	NA	1
ENSCAFG00845004216	1	one_to_one	ENSMUSG00000121231	0	NA	NA	NA	0
ENSCAFG00845004415	1	many_to_one	ENSMUSG00000117891	0	NA	NA	NA	1
ENSCAFG00845004418	1	many_to_one	ENSMUSG00000117891	0	NA	NA	NA	1
ENSCAFG00845004407	1	one_to_one	ENSMUSG00000120583	0	NA	NA	NA	1
ENSCAFG00845004943	1	one_to_many	ENSMUSG00000113257;ENSMUSG00000113203	0	NA	NA	NA	1
ENSCAFG00845005211	1	one_to_many	ENSMUSG00000109366;ENSMUSG00000120563;ENSMUSG00000120590	0	NA	NA	NA	1
ENSCAFG00845005246	1	one_to_one	ENSMUSG00000111227	0	NA	NA	NA	1
ENSCAFG00845005242	1	one_to_one	ENSMUSG00000111102	0	NA	NA	NA	1
ENSCAFG00845005394	1	one_to_one	ENSMUSG00000120178	1	one_to_one	lncgDivg	ENSMUSG00000111227	1
ENSCAFG00845005397	1	one_to_one	ENSMUSG00000111091	0	NA	NA	NA	0
ENSCAFG00845005409	1	many_to_many_sameNumber	ENSMUSG00000114384;ENSMUSG00000114231	0	NA	NA	NA	1
ENSCAFG00845005412	1	many_to_many_sameNumber	ENSMUSG00000114384;ENSMUSG00000114231	0	NA	NA	NA	1
ENSCAFG00845005404	1	one_to_one	ENSMUSG00000114808	0	NA	NA	NA	1
ENSCAFG00845007067	1	one_to_many	ENSMUSG00000112132;ENSMUSG00000112733	1	one_to_one	lincDivg	ENSMUSG00000112132	1
ENSCAFG00845010755	1	many_to_many_sameNumber	ENSMUSG00000117941;ENSMUSG00000118367	0	NA	NA	NA	1
ENSCAFG00845010764	1	many_to_many_sameNumber	ENSMUSG00000117941;ENSMUSG00000118367	0	NA	NA	NA	1
ENSCAFG00845013941	1	many_to_many_DifferentNumber	ENSMUSG00000112713;ENSMUSG00000112219;ENSMUSG00000112573	1	one_to_one	lincSS.dw	ENSMUSG00000112573	1
ENSCAFG00845013944	1	many_to_many_DifferentNumber	ENSMUSG00000112713;ENSMUSG00000112219;ENSMUSG00000112573	0	NA	NA	NA	1
ENSCAFG00845013950	1	many_to_many_DifferentNumber	ENSMUSG00000112713;ENSMUSG00000112219;ENSMUSG00000112573	0	NA	NA	NA	1
ENSCAFG00845013953	1	many_to_many_DifferentNumber	ENSMUSG00000112713;ENSMUSG00000112219;ENSMUSG00000112573	0	NA	NA	NA	1
ENSCAFG00845013964	1	many_to_many_DifferentNumber	ENSMUSG00000112713;ENSMUSG00000112219;ENSMUSG00000112573	0	NA	NA	NA	1
ENSCAFG00845013934	1	one_to_many	ENSMUSG00000112146;ENSMUSG00000101621;ENSMUSG00000112074;ENSMUSG00000112060;ENSMUSG00000109160	1	one_to_one	lincDivg	ENSMUSG00000101621	1
ENSCAFG00845022149	1	many_to_one	ENSMUSG00000086889	1	one_to_one	lncgDivg	ENSMUSG00000086889	1
ENSCAFG00845022168	1	many_to_one	ENSMUSG00000086889	0	NA	NA	NA	1
ENSCAFG00845000171	1	one_to_one	ENSMUSG00000073377	1	one_to_one	lncgDivg	ENSMUSG00000091160	1
ENSCAFG00845000183	1	many_to_one	ENSMUSG00000120541	0	NA	NA	NA	1
ENSCAFG00845000186	1	many_to_one	ENSMUSG00000120541	0	NA	NA	NA	1
ENSCAFG00845000192	1	many_to_one	ENSMUSG00000120541	0	NA	NA	NA	1
ENSCAFG00845000198	1	many_to_one	ENSMUSG00000120541	0	NA	NA	NA	1
ENSCAFG00845000264	1	many_to_many_DifferentNumber	ENSMUSG00000097023;ENSMUSG00000108616	1	one_to_one	lincConv	ENSMUSG00000108616	0
ENSCAFG00845004187	1	many_to_many_DifferentNumber	ENSMUSG00000097023;ENSMUSG00000108616	0	NA	NA	NA	0
ENSCAFG00845004193	1	many_to_many_DifferentNumber	ENSMUSG00000097023;ENSMUSG00000108616	1	one_to_one	lincDivg	ENSMUSG00000097023	0
ENSCAFG00845000235	1	many_to_many_DifferentNumber	ENSMUSG00000108373;ENSMUSG00000108776	0	NA	NA	NA	0
ENSCAFG00845000244	1	many_to_many_DifferentNumber	ENSMUSG00000108373;ENSMUSG00000108776	0	NA	NA	NA	0
ENSCAFG00845000253	1	many_to_many_DifferentNumber	ENSMUSG00000108373;ENSMUSG00000108776	1	one_to_one	lincSS.dw	ENSMUSG00000108373	0
ENSCAFG00845000739	1	one_to_many	ENSMUSG00000105503;ENSMUSG00000104784	0	NA	NA	NA	1
ENSCAFG00845000781	1	one_to_one	ENSMUSG00000105264	0	NA	NA	NA	1
ENSCAFG00845001762	1	one_to_one	ENSMUSG00000104846	0	NA	NA	NA	1
ENSCAFG00845002396	1	many_to_many_sameNumber	ENSMUSG00000106794;ENSMUSG00000106741	0	NA	NA	NA	0
ENSCAFG00845002400	1	many_to_many_sameNumber	ENSMUSG00000106794;ENSMUSG00000106741	0	NA	NA	NA	0
ENSCAFG00845003620	1	one_to_one	ENSMUSG00000108603	1	one_to_one	lncgConv	ENSMUSG00000108603	1
ENSCAFG00845003886	1	one_to_one	ENSMUSG00000097277	1	one_to_one	lncgConv	ENSMUSG00000097277	1
ENSCAFG00845004042	1	one_to_one	ENSMUSG00000054598	0	NA	NA	NA	0
ENSCAFG00845007929	1	many_to_one	ENSMUSG00000104847	0	NA	NA	NA	0
ENSCAFG00845007938	1	many_to_one	ENSMUSG00000104847	0	NA	NA	NA	0
ENSCAFG00845007946	1	many_to_one	ENSMUSG00000104847	0	NA	NA	NA	0
ENSCAFG00845007957	1	many_to_one	ENSMUSG00000104847	0	NA	NA	NA	0
ENSCAFG00845007977	1	many_to_one	ENSMUSG00000104847	0	NA	NA	NA	0
ENSCAFG00845007984	1	many_to_one	ENSMUSG00000104847	0	NA	NA	NA	0
ENSCAFG00845007991	1	many_to_one	ENSMUSG00000104847	0	NA	NA	NA	0
ENSCAFG00845007995	1	many_to_one	ENSMUSG00000104847	0	NA	NA	NA	0
ENSCAFG00845008018	1	many_to_one	ENSMUSG00000104847	0	NA	NA	NA	0
ENSCAFG00845008024	1	many_to_one	ENSMUSG00000104847	0	NA	NA	NA	0
ENSCAFG00845008031	1	many_to_one	ENSMUSG00000104847	0	NA	NA	NA	0
ENSCAFG00845008038	1	many_to_one	ENSMUSG00000104847	0	NA	NA	NA	0
ENSCAFG00845008049	1	many_to_one	ENSMUSG00000104847	0	NA	NA	NA	0
ENSCAFG00845008057	1	many_to_one	ENSMUSG00000104847	0	NA	NA	NA	0
ENSCAFG00845008063	1	many_to_one	ENSMUSG00000104847	0	NA	NA	NA	0
ENSCAFG00845008070	1	many_to_one	ENSMUSG00000104847	0	NA	NA	NA	0
ENSCAFG00845008082	1	many_to_one	ENSMUSG00000104847	0	NA	NA	NA	0
ENSCAFG00845008696	1	one_to_many	ENSMUSG00000113598;ENSMUSG00000112934;ENSMUSG00000113904	0	NA	NA	NA	0
ENSCAFG00845009076	1	one_to_one	ENSMUSG00000114014	0	NA	NA	NA	1
ENSCAFG00845009817	1	many_to_one	ENSMUSG00000090033	0	NA	NA	NA	1
ENSCAFG00845009829	1	many_to_one	ENSMUSG00000090033	0	NA	NA	NA	1
ENSCAFG00845009844	1	many_to_one	ENSMUSG00000090033	0	NA	NA	NA	1
ENSCAFG00845009859	1	many_to_one	ENSMUSG00000090033	0	NA	NA	NA	1
ENSCAFG00845012817	1	one_to_one	ENSMUSG00000106688	1	one_to_one	lincSS.up	ENSMUSG00000106688	0
ENSCAFG00845015649	1	many_to_many_DifferentNumber	ENSMUSG00000114632;ENSMUSG00000114639;ENSMUSG00000114522;ENSMUSG00000114594;ENSMUSG00000101416;ENSMUSG00000087143	1	one_to_one	lncgDivg	ENSMUSG00000087143	0
ENSCAFG00845015672	1	many_to_many_DifferentNumber	ENSMUSG00000114632;ENSMUSG00000114639;ENSMUSG00000114522;ENSMUSG00000114594;ENSMUSG00000101416;ENSMUSG00000087143	0	NA	NA	NA	0
ENSCAFG00845015971	1	many_to_many_DifferentNumber	ENSMUSG00000114632;ENSMUSG00000114639;ENSMUSG00000114522;ENSMUSG00000114594;ENSMUSG00000101416;ENSMUSG00000087143	0	NA	NA	NA	0
ENSCAFG00845015690	1	many_to_one	ENSMUSG00000100168	0	NA	NA	NA	0
ENSCAFG00845015702	1	many_to_one	ENSMUSG00000100168	0	NA	NA	NA	0
ENSCAFG00845015844	1	many_to_one	ENSMUSG00000100168	0	NA	NA	NA	0
ENSCAFG00845015911	1	many_to_one	ENSMUSG00000100168	0	NA	NA	NA	0
ENSCAFG00845016888	1	one_to_many	ENSMUSG00000114461;ENSMUSG00000114372	0	NA	NA	NA	0
ENSCAFG00845017914	1	many_to_many_DifferentNumber	ENSMUSG00000100891;ENSMUSG00000050334	1	one_to_one	lincSS.dw	ENSMUSG00000050334	1
ENSCAFG00845018034	1	many_to_many_DifferentNumber	ENSMUSG00000100891;ENSMUSG00000050334	0	NA	NA	NA	1
ENSCAFG00845018068	1	many_to_many_DifferentNumber	ENSMUSG00000100891;ENSMUSG00000050334	0	NA	NA	NA	1
ENSCAFG00845017881	1	many_to_many_DifferentNumber	ENSMUSG00000097292;ENSMUSG00000097265;ENSMUSG00000114379;ENSMUSG00000098087	1	many_to_one	lincConv	ENSMUSG00000097265	1
ENSCAFG00845018016	1	many_to_many_DifferentNumber	ENSMUSG00000097292;ENSMUSG00000097265;ENSMUSG00000114379;ENSMUSG00000098087	1	many_to_one	lincConv	ENSMUSG00000097265	1
ENSCAFG00845018054	1	many_to_many_DifferentNumber	ENSMUSG00000097292;ENSMUSG00000097265;ENSMUSG00000114379;ENSMUSG00000098087	1	one_to_one	lncgDivg	ENSMUSG00000097292	1
ENSCAFG00845020702	1	one_to_many	ENSMUSG00000114541;ENSMUSG00000114204	0	NA	NA	NA	1
ENSCAFG00845002623	1	one_to_one	ENSMUSG00000111862	1	one_to_one	lncgSS.dw	ENSMUSG00000111862	1
ENSCAFG00845002749	1	many_to_many_sameNumber	ENSMUSG00000110682;ENSMUSG00000110716;ENSMUSG00000110523	1	many_to_many_strict	lincDivg	ENSMUSG00000110682;ENSMUSG00000110523	1
ENSCAFG00845002775	1	many_to_many_sameNumber	ENSMUSG00000110682;ENSMUSG00000110716;ENSMUSG00000110523	1	many_to_many_strict	lincDivg	ENSMUSG00000110682;ENSMUSG00000110523	1
ENSCAFG00845002793	1	many_to_many_sameNumber	ENSMUSG00000110682;ENSMUSG00000110716;ENSMUSG00000110523	0	NA	NA	NA	1
ENSCAFG00845002758	1	many_to_one	ENSMUSG00000090174	0	NA	NA	NA	1
ENSCAFG00845002788	1	many_to_one	ENSMUSG00000090174	0	NA	NA	NA	1
ENSCAFG00845002911	1	one_to_one	ENSMUSG00000085926	1	one_to_one	lincSS.up	ENSMUSG00000085926	0
ENSCAFG00845003019	1	one_to_one	ENSMUSG00000084967	0	NA	NA	NA	1
ENSCAFG00845003485	1	one_to_one	ENSMUSG00000121107	0	NA	NA	NA	1
ENSCAFG00845004332	1	one_to_one	ENSMUSG00000121159	0	NA	NA	NA	1
ENSCAFG00845004336	1	one_to_many	ENSMUSG00000097983;ENSMUSG00000121010	0	NA	NA	NA	1
ENSCAFG00845004406	1	many_to_many_DifferentNumber	ENSMUSG00000111126;ENSMUSG00000110864;ENSMUSG00000110802;ENSMUSG00000110767;ENSMUSG00000111649;ENSMUSG00000111800;ENSMUSG00000111236;ENSMUSG00000099696;ENSMUSG00000094893	0	NA	NA	NA	1
ENSCAFG00845004445	1	many_to_many_DifferentNumber	ENSMUSG00000111126;ENSMUSG00000110864;ENSMUSG00000110802;ENSMUSG00000110767;ENSMUSG00000111649;ENSMUSG00000111800;ENSMUSG00000111236;ENSMUSG00000099696;ENSMUSG00000094893	0	NA	NA	NA	1
ENSCAFG00845004460	1	many_to_many_DifferentNumber	ENSMUSG00000111126;ENSMUSG00000110864;ENSMUSG00000110802;ENSMUSG00000110767;ENSMUSG00000111649;ENSMUSG00000111800;ENSMUSG00000111236;ENSMUSG00000099696;ENSMUSG00000094893	0	NA	NA	NA	1
ENSCAFG00845004463	1	many_to_many_DifferentNumber	ENSMUSG00000111126;ENSMUSG00000110864;ENSMUSG00000110802;ENSMUSG00000110767;ENSMUSG00000111649;ENSMUSG00000111800;ENSMUSG00000111236;ENSMUSG00000099696;ENSMUSG00000094893	0	NA	NA	NA	1
ENSCAFG00845004383	1	many_to_many_DifferentNumber	ENSMUSG00000097463;ENSMUSG00000111115;ENSMUSG00000109844;ENSMUSG00000119966;ENSMUSG00000111482;ENSMUSG00000111669	0	NA	NA	NA	1
ENSCAFG00845004392	1	many_to_many_DifferentNumber	ENSMUSG00000097463;ENSMUSG00000111115;ENSMUSG00000109844;ENSMUSG00000119966;ENSMUSG00000111482;ENSMUSG00000111669	0	NA	NA	NA	1
ENSCAFG00845004416	1	many_to_many_DifferentNumber	ENSMUSG00000097463;ENSMUSG00000111115;ENSMUSG00000109844;ENSMUSG00000119966;ENSMUSG00000111482;ENSMUSG00000111669	0	NA	NA	NA	1
ENSCAFG00845004419	1	many_to_many_DifferentNumber	ENSMUSG00000097463;ENSMUSG00000111115;ENSMUSG00000109844;ENSMUSG00000119966;ENSMUSG00000111482;ENSMUSG00000111669	0	NA	NA	NA	1
ENSCAFG00845004425	1	many_to_many_DifferentNumber	ENSMUSG00000097463;ENSMUSG00000111115;ENSMUSG00000109844;ENSMUSG00000119966;ENSMUSG00000111482;ENSMUSG00000111669	0	NA	NA	NA	1
ENSCAFG00845004427	1	many_to_many_DifferentNumber	ENSMUSG00000097463;ENSMUSG00000111115;ENSMUSG00000109844;ENSMUSG00000119966;ENSMUSG00000111482;ENSMUSG00000111669	0	NA	NA	NA	1
ENSCAFG00845004431	1	many_to_many_DifferentNumber	ENSMUSG00000097463;ENSMUSG00000111115;ENSMUSG00000109844;ENSMUSG00000119966;ENSMUSG00000111482;ENSMUSG00000111669	0	NA	NA	NA	1
ENSCAFG00845004433	1	many_to_many_DifferentNumber	ENSMUSG00000097463;ENSMUSG00000111115;ENSMUSG00000109844;ENSMUSG00000119966;ENSMUSG00000111482;ENSMUSG00000111669	0	NA	NA	NA	1
ENSCAFG00845004437	1	many_to_many_DifferentNumber	ENSMUSG00000097463;ENSMUSG00000111115;ENSMUSG00000109844;ENSMUSG00000119966;ENSMUSG00000111482;ENSMUSG00000111669	0	NA	NA	NA	1
ENSCAFG00845004442	1	many_to_many_DifferentNumber	ENSMUSG00000097463;ENSMUSG00000111115;ENSMUSG00000109844;ENSMUSG00000119966;ENSMUSG00000111482;ENSMUSG00000111669	0	NA	NA	NA	1
ENSCAFG00845004447	1	many_to_many_DifferentNumber	ENSMUSG00000097463;ENSMUSG00000111115;ENSMUSG00000109844;ENSMUSG00000119966;ENSMUSG00000111482;ENSMUSG00000111669	0	NA	NA	NA	1
ENSCAFG00845004450	1	many_to_many_DifferentNumber	ENSMUSG00000097463;ENSMUSG00000111115;ENSMUSG00000109844;ENSMUSG00000119966;ENSMUSG00000111482;ENSMUSG00000111669	0	NA	NA	NA	1
ENSCAFG00845004453	1	many_to_many_DifferentNumber	ENSMUSG00000097463;ENSMUSG00000111115;ENSMUSG00000109844;ENSMUSG00000119966;ENSMUSG00000111482;ENSMUSG00000111669	0	NA	NA	NA	1
ENSCAFG00845004457	1	many_to_many_DifferentNumber	ENSMUSG00000097463;ENSMUSG00000111115;ENSMUSG00000109844;ENSMUSG00000119966;ENSMUSG00000111482;ENSMUSG00000111669	0	NA	NA	NA	1
ENSCAFG00845004608	1	one_to_one	ENSMUSG00000121139	1	one_to_one	lncgSS.dw	ENSMUSG00000121139	1
ENSCAFG00845005402	1	one_to_one	ENSMUSG00000097409	0	NA	NA	NA	1
ENSCAFG00845005882	1	many_to_one	ENSMUSG00000087531	0	NA	NA	NA	0
ENSCAFG00845005901	1	many_to_one	ENSMUSG00000087531	0	NA	NA	NA	0
ENSCAFG00845005893	1	one_to_one	ENSMUSG00000110741	0	NA	NA	NA	0
ENSCAFG00845006429	1	one_to_one	ENSMUSG00000097701	1	one_to_one	lncgConv	ENSMUSG00000097701	1
ENSCAFG00845006993	1	many_to_one	ENSMUSG00000086136	0	NA	NA	NA	1
ENSCAFG00845007055	1	many_to_one	ENSMUSG00000086136	0	NA	NA	NA	1
ENSCAFG00845007388	1	many_to_one	ENSMUSG00000086136	0	NA	NA	NA	1
ENSCAFG00845007461	1	many_to_one	ENSMUSG00000086136	0	NA	NA	NA	1
ENSCAFG00845007019	1	many_to_one	ENSMUSG00000087482	0	NA	NA	NA	1
ENSCAFG00845007031	1	many_to_one	ENSMUSG00000087482	0	NA	NA	NA	1
ENSCAFG00845007042	1	many_to_one	ENSMUSG00000087482	0	NA	NA	NA	1
ENSCAFG00845007069	1	many_to_one	ENSMUSG00000087482	0	NA	NA	NA	1
ENSCAFG00845007080	1	many_to_one	ENSMUSG00000087482	0	NA	NA	NA	1
ENSCAFG00845007093	1	many_to_one	ENSMUSG00000087482	0	NA	NA	NA	1
ENSCAFG00845007101	1	many_to_one	ENSMUSG00000087482	0	NA	NA	NA	1
ENSCAFG00845007116	1	many_to_one	ENSMUSG00000087482	0	NA	NA	NA	1
ENSCAFG00845007133	1	many_to_one	ENSMUSG00000087482	0	NA	NA	NA	1
ENSCAFG00845007141	1	many_to_one	ENSMUSG00000087482	0	NA	NA	NA	1
ENSCAFG00845007157	1	many_to_one	ENSMUSG00000087482	0	NA	NA	NA	1
ENSCAFG00845007170	1	many_to_one	ENSMUSG00000087482	0	NA	NA	NA	1
ENSCAFG00845007178	1	many_to_one	ENSMUSG00000087482	0	NA	NA	NA	1
ENSCAFG00845007187	1	many_to_one	ENSMUSG00000087482	0	NA	NA	NA	1
ENSCAFG00845007209	1	many_to_one	ENSMUSG00000087482	0	NA	NA	NA	1
ENSCAFG00845007223	1	many_to_one	ENSMUSG00000087482	0	NA	NA	NA	1
ENSCAFG00845007240	1	many_to_one	ENSMUSG00000087482	0	NA	NA	NA	1
ENSCAFG00845007252	1	many_to_one	ENSMUSG00000087482	0	NA	NA	NA	1
ENSCAFG00845007268	1	many_to_one	ENSMUSG00000087482	0	NA	NA	NA	1
ENSCAFG00845007278	1	many_to_one	ENSMUSG00000087482	0	NA	NA	NA	1
ENSCAFG00845007285	1	many_to_one	ENSMUSG00000087482	0	NA	NA	NA	1
ENSCAFG00845007312	1	many_to_one	ENSMUSG00000087482	0	NA	NA	NA	1
ENSCAFG00845007323	1	many_to_one	ENSMUSG00000087482	0	NA	NA	NA	1
ENSCAFG00845007333	1	many_to_one	ENSMUSG00000087482	0	NA	NA	NA	1
ENSCAFG00845007344	1	many_to_one	ENSMUSG00000087482	0	NA	NA	NA	1
ENSCAFG00845007357	1	many_to_one	ENSMUSG00000087482	0	NA	NA	NA	1
ENSCAFG00845007370	1	many_to_one	ENSMUSG00000087482	0	NA	NA	NA	1
ENSCAFG00845007401	1	many_to_one	ENSMUSG00000087482	0	NA	NA	NA	1
ENSCAFG00845007417	1	many_to_one	ENSMUSG00000087482	0	NA	NA	NA	1
ENSCAFG00845007424	1	many_to_one	ENSMUSG00000087482	0	NA	NA	NA	1
ENSCAFG00845007483	1	many_to_one	ENSMUSG00000087482	0	NA	NA	NA	1
ENSCAFG00845007493	1	many_to_one	ENSMUSG00000087482	0	NA	NA	NA	1
ENSCAFG00845007504	1	many_to_one	ENSMUSG00000087482	0	NA	NA	NA	1
ENSCAFG00845007516	1	many_to_one	ENSMUSG00000087482	0	NA	NA	NA	1
ENSCAFG00845007527	1	many_to_one	ENSMUSG00000087482	0	NA	NA	NA	1
