lncRNA.Homo_sapiens	PCG_left.Homo_sapiens	PCG_right.Homo_sapiens	lncRNA_strand.Homo_sapiens	PCG_left_strand.Homo_sapiens	PCG_right_strand.Homo_sapiens	lncRNA_PCG_left_distance.Homo_sapiens	lncRNA_PCG_right_distance.Homo_sapiens
ENSG00000228037	ENSG00000157873	ENSG00000157870	+	+	+	25921	4931
ENSG00000284616	ENSG00000196581	ENSG00000131697	-	+	-	647319	560883
ENSG00000260972	ENSG00000196581	ENSG00000131697	+	+	-	838369	369833
ENSG00000226374	ENSG00000198912	ENSG00000196581	-	-	+	55422	710062
