ensembl_gene_id	hsapiens_homolog_ensembl_gene	hsapiens_homolog_orthology_type
ENSCAFG00845000002	ENSG00000081913	ortholog_one2one
ENSCAFG00845000003		
ENSCAFG00845000004		
ENSCAFG00845000005		
