PCG.Homo_sapiens	conf.Homo_sapiens	PCG.Canis_lupus_familiaris	conf.Canis_lupus_familiaris	lncRNA.Homo_sapiens	class.Homo_sapiens	distance.Homo_sapiens	lncRNA.Canis_lupus_familiaris	class.Canis_lupus_familiaris	distance.Canis_lupus_familiaris	orthology_type.Homo_sapiens-Canis_lupus_familiaris
ENSG00000170677	lincConv	ENSCAFG00845001189	lincConv	ENSG00000266304;ENSG00000266278	1.1.1;1.1.1	5302;49941	ENSCAFG00845001172	1.1.1	18107	many_to_one
ENSG00000116685	lincConv	ENSCAFG00845001915	lincConv	ENSG00000285646	n.1.1	10261	ENSCAFG00845001956	1.1.1	14832	one_to_one
ENSG00000174132	lincConv	ENSCAFG00845002170	lincConv	ENSG00000250806	1.1.1	67371	ENSCAFG00845002155;ENSCAFG00845002139;ENSCAFG00845002148	1.1.1;1.1.1;1.1.1	8820;27556;21411	one_to_many
ENSG00000155719	lincConv	ENSCAFG00845002239	lincConv	ENSG00000260306	1.1.1	32160	ENSCAFG00845002216	1.1.1	6194	one_to_one
ENSG00000141433	lincConv	ENSCAFG00845002272	lincConv	ENSG00000272461;ENSG00000259837	1.1.1;1.1.1	50420;13911	ENSCAFG00845002299	1.1.1	74576	many_to_one
ENSG00000112530	lincConv	ENSCAFG00845002583	lincConv	ENSG00000285726;ENSG00000285564	1.1.1;n.1.1	32519;22863	ENSCAFG00845002599	1.1.1	20502	many_to_one
ENSG00000067082	lincConv	ENSCAFG00845003083	lincConv	ENSG00000229672;ENSG00000228353	n.1.1;1.1.1	12284;7245	ENSCAFG00845003150	1.1.1	30866	many_to_one
ENSG00000189348	lincConv	ENSCAFG00845004594	lincConv	ENSG00000290987	1.1.1	17175	ENSCAFG00845004586	1.1.1	15652	one_to_one
ENSG00000155511	lincConv	ENSCAFG00845005055	lincConv	ENSG00000251183	1.1.1	73559	ENSCAFG00845005031;ENSCAFG00845005040	1.1.1;1.1.1	26191;18172	one_to_many
ENSG00000196670	lincConv	ENSCAFG00845005305	lincConv	ENSG00000245060	n.1.1	11874	ENSCAFG00845005282;ENSCAFG00845028395	1.1.1;1.1.1	34459;47521	one_to_many
ENSG00000139289	lincConv	ENSCAFG00845005752	lincConv	ENSG00000257329	1.1.1	58385	ENSCAFG00845005712;ENSCAFG00845027451	1.1.1;1.1.1	12102;54184	one_to_many
ENSG00000170860	lincConv	ENSCAFG00845005837	lincConv	ENSG00000255021	1.1.1	71251	ENSCAFG00845005811;ENSCAFG00845005801	1.1.1;1.1.1	58482;87397	one_to_many
ENSG00000125629	lincConv	ENSCAFG00845005970	lincConv	ENSG00000226856	n.1.1	21131	ENSCAFG00845005912	n.1.1	17852	one_to_one
ENSG00000176165	lincConv	ENSCAFG00845009198	lincConv	ENSG00000257056;ENSG00000257748	n.1.1;n.1.1	12632;29807	ENSCAFG00845009239	1.1.1	10428	many_to_one
ENSG00000266074	lincConv	ENSCAFG00845010723	lincConv	ENSG00000278200	1.1.1	14192	ENSCAFG00845010677	1.1.1	15623	one_to_one
ENSG00000151413	lincConv	ENSCAFG00845011856	lincConv	ENSG00000257472	1.1.1	64577	ENSCAFG00845011966;ENSCAFG00845011999	1.1.1;1.1.1	8324;45586	one_to_many
ENSG00000188636	lincConv	ENSCAFG00845012255	lincConv	ENSG00000232655	1.1.1	47795	ENSCAFG00845012265	1.1.1	11391	one_to_one
