lncRNA.Canis_lupus_familiaris	lncRNA.Homo_sapiens	orthology_type.Canis_lupus_familiaris.Homo_sapiens	lncRNA.Mus_musculus	orthology_type.Canis_lupus_familiaris.Mus_musculus	nbTotalIndication	profilIndication
ENSCAFG00845000003	NA	NA	ENSMUSG00000095123	one_to_one	1	one_to_one:1
ENSCAFG00845000022	NA	NA	ENSMUSG00000118373	one_to_one	1	one_to_one:1
ENSCAFG00845000049	ENSG00000288865	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845000051	NA	NA	ENSMUSG00000118090	one_to_one	1	one_to_one:1
ENSCAFG00845000055	ENSG00000274828;ENSG00000266901;ENSG00000178412	one_to_many	ENSMUSG00000120406;ENSMUSG00000118070	one_to_many	2	one_to_many:2
ENSCAFG00845000057	ENSG00000267409	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845000094	ENSG00000228629	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845000100	ENSG00000232131	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845000121	ENSG00000269793	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845000144	NA	NA	ENSMUSG00000089866	one_to_one	1	one_to_one:1
ENSCAFG00845000171	ENSG00000271849	one_to_one	ENSMUSG00000091160	one_to_one	2	one_to_one:2
ENSCAFG00845000176	ENSG00000285520	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845000186	ENSG00000248440;ENSG00000251367;ENSG00000248876	many_to_many_strict	NA	NA	1	many_to_many_strict:1
ENSCAFG00845000192	ENSG00000248440;ENSG00000251367;ENSG00000248876	many_to_many_strict	NA	NA	1	many_to_many_strict:1
ENSCAFG00845000198	ENSG00000248440;ENSG00000251367;ENSG00000248876	many_to_many_strict	NA	NA	1	many_to_many_strict:1
ENSCAFG00845000235	ENSG00000287717	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845000244	ENSG00000287717	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845000253	NA	NA	ENSMUSG00000108373	one_to_one	1	one_to_one:1
ENSCAFG00845000262	ENSG00000263146	one_to_one	ENSMUSG00000098720	one_to_one	2	one_to_one:2
ENSCAFG00845000264	NA	NA	ENSMUSG00000108616	one_to_one	1	one_to_one:1
ENSCAFG00845000300	NA	NA	ENSMUSG00000109165	one_to_one	1	one_to_one:1
ENSCAFG00845000314	ENSG00000259218	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845000368	NA	NA	ENSMUSG00000113543	one_to_one	1	one_to_one:1
ENSCAFG00845000388	ENSG00000274925;ENSG00000259955	one_to_many	NA	NA	1	one_to_many:1
ENSCAFG00845000496	ENSG00000232529	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845000556	ENSG00000266256	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845000562	NA	NA	ENSMUSG00000097738	one_to_one	1	one_to_one:1
ENSCAFG00845000566	ENSG00000265778;ENSG00000263982;ENSG00000275763	many_to_many	ENSMUSG00000118339	many_to_one	2	many_to_many:1;many_to_one:1
ENSCAFG00845000571	ENSG00000265778;ENSG00000263982;ENSG00000275763	many_to_many	ENSMUSG00000118339	many_to_one	2	many_to_many:1;many_to_one:1
ENSCAFG00845000661	ENSG00000269054	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845000678	ENSG00000278607	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845000739	ENSG00000248138	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845000750	ENSG00000261789	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845000781	ENSG00000286280	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845000824	NA	NA	ENSMUSG00000117685	one_to_one	1	one_to_one:1
ENSCAFG00845000864	ENSG00000259291	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845000870	ENSG00000273691	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845000956	ENSG00000289380	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845000967	ENSG00000286403	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845000985	NA	NA	ENSMUSG00000099424	one_to_one	1	one_to_one:1
ENSCAFG00845001011	NA	NA	ENSMUSG00000120345	one_to_one	1	one_to_one:1
ENSCAFG00845001039	NA	NA	ENSMUSG00000084889	one_to_one	1	one_to_one:1
ENSCAFG00845001084	ENSG00000288833	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845001135	ENSG00000266258	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845001162	ENSG00000266258	many_to_one	NA	NA	1	many_to_one:1
ENSCAFG00845001172	ENSG00000266304;ENSG00000266278	one_to_many	ENSMUSG00000118352	one_to_one	2	one_to_many:1;one_to_one:1
ENSCAFG00845001229	NA	NA	ENSMUSG00000110755	one_to_one	1	one_to_one:1
ENSCAFG00845001284	ENSG00000274023	one_to_one	NA	NA	1	one_to_one:1
ENSCAFG00845001367	ENSG00000288935	one_to_one	NA	NA	1	one_to_one:1
