lncRNAid_Canis_lupus_familiaris	isTable_1_Homo_sapiens	orthology_type_synteny_Homo_sapiens	lncRNA_synteny_id_Homo_sapiens	isTable_2_Homo_sapiens	orthology_type_configuration_Homo_sapiens	configuration_type_configuration_Homo_sapiens	lncRNA_configuration_id_Homo_sapiens	isTable_3_Homo_sapiens
ENSCAFG00845019973	1	one_to_many	ENSG00000261101;ENSG00000286000	1	one_to_one	lncgSS.dw	ENSG00000261101	0
ENSCAFG00845019984	1	one_to_one	ENSG00000228275	0	NA	NA	NA	0
ENSCAFG00845021066	1	one_to_one	ENSG00000237741	0	NA	NA	NA	0
ENSCAFG00845022321	1	one_to_one	ENSG00000223571	1	one_to_one	lncgSS.up	ENSG00000223571	0
ENSCAFG00845024529	1	one_to_one	ENSG00000230153	0	NA	NA	NA	1
ENSCAFG00845024878	1	many_to_many_DifferentNumber	ENSG00000270052;ENSG00000214915	0	NA	NA	NA	0
ENSCAFG00845024906	1	many_to_many_DifferentNumber	ENSG00000270052;ENSG00000214915	0	NA	NA	NA	0
ENSCAFG00845024916	1	many_to_many_DifferentNumber	ENSG00000270052;ENSG00000214915	0	NA	NA	NA	0
ENSCAFG00845026264	1	one_to_one	ENSG00000227042	0	NA	NA	NA	1
ENSCAFG00845029153	1	one_to_one	ENSG00000225037	0	NA	NA	NA	1
ENSCAFG00845029397	1	many_to_many_DifferentNumber	ENSG00000283400;ENSG00000283546	0	NA	NA	NA	0
ENSCAFG00845029422	1	many_to_many_DifferentNumber	ENSG00000283400;ENSG00000283546	0	NA	NA	NA	0
ENSCAFG00845029432	1	many_to_many_DifferentNumber	ENSG00000283400;ENSG00000283546	0	NA	NA	NA	0
ENSCAFG00845029441	1	many_to_many_DifferentNumber	ENSG00000283400;ENSG00000283546	0	NA	NA	NA	0
ENSCAFG00845029457	1	many_to_many_DifferentNumber	ENSG00000283400;ENSG00000283546	0	NA	NA	NA	0
ENSCAFG00845029407	1	one_to_many	ENSG00000283631;ENSG00000283380	1	one_to_many	lncgDivg	ENSG00000283380;ENSG00000288832	0
ENSCAFG00845031080	1	many_to_one	ENSG00000286060	0	NA	NA	NA	0
ENSCAFG00845031081	1	many_to_one	ENSG00000286060	0	NA	NA	NA	0
ENSCAFG00845031082	1	many_to_one	ENSG00000286060	0	NA	NA	NA	0
ENSCAFG00845000006	1	one_to_one	ENSG00000285652	0	NA	NA	NA	0
ENSCAFG00845000022	1	many_to_one	ENSG00000261126	0	NA	NA	NA	1
ENSCAFG00845000023	1	many_to_one	ENSG00000261126	0	NA	NA	NA	1
ENSCAFG00845000025	1	one_to_one	ENSG00000267341	0	NA	NA	NA	1
ENSCAFG00845000035	1	one_to_many	ENSG00000285941;ENSG00000285691;ENSG00000235535	0	NA	NA	NA	1
ENSCAFG00845000049	1	one_to_one	ENSG00000288865	1	one_to_one	lncgDivg	ENSG00000288865	1
ENSCAFG00845000055	1	many_to_many_DifferentNumber	ENSG00000178412;ENSG00000286186;ENSG00000275186;ENSG00000274828	1	one_to_many	lncgDivg	ENSG00000274828;ENSG00000266901;ENSG00000178412	0
ENSCAFG00845000059	1	many_to_many_DifferentNumber	ENSG00000178412;ENSG00000286186;ENSG00000275186;ENSG00000274828	0	NA	NA	NA	0
ENSCAFG00845000062	1	many_to_many_DifferentNumber	ENSG00000178412;ENSG00000286186;ENSG00000275186;ENSG00000274828	0	NA	NA	NA	0
ENSCAFG00845000057	1	one_to_many	ENSG00000267287;ENSG00000267409;ENSG00000286296	1	one_to_one	lincSS.up	ENSG00000267409	0
ENSCAFG00845000094	1	many_to_one	ENSG00000228629	1	one_to_one	lncgConv	ENSG00000228629	1
ENSCAFG00845008055	1	many_to_one	ENSG00000228629	0	NA	NA	NA	1
ENSCAFG00845008062	1	many_to_one	ENSG00000228629	0	NA	NA	NA	1
ENSCAFG00845000201	1	one_to_one	ENSG00000166770	0	NA	NA	NA	0
ENSCAFG00845000262	1	one_to_many	ENSG00000264334;ENSG00000286727;ENSG00000266273;ENSG00000265101;ENSG00000266586;ENSG00000265843;ENSG00000263146	1	one_to_one	lncgDivg	ENSG00000263146	1
ENSCAFG00845000291	1	one_to_many	ENSG00000265844;ENSG00000275178;ENSG00000278330;ENSG00000287680	0	NA	NA	NA	1
ENSCAFG00845000496	1	one_to_one	ENSG00000232529	1	one_to_one	lincSS.dw	ENSG00000232529	0
ENSCAFG00845000545	1	many_to_many_sameNumber	ENSG00000232098;ENSG00000268912	0	NA	NA	NA	0
ENSCAFG00845000558	1	many_to_many_sameNumber	ENSG00000232098;ENSG00000268912	0	NA	NA	NA	0
ENSCAFG00845000678	1	one_to_many	ENSG00000278911;ENSG00000285915;ENSG00000278607	1	one_to_one	lncgConv	ENSG00000278607	1
ENSCAFG00845000797	1	one_to_many	ENSG00000274354;ENSG00000267226	0	NA	NA	NA	1
ENSCAFG00845000801	1	many_to_one	ENSG00000243888	0	NA	NA	NA	1
ENSCAFG00845000814	1	many_to_one	ENSG00000243888	0	NA	NA	NA	1
ENSCAFG00845000822	1	many_to_one	ENSG00000243888	0	NA	NA	NA	1
ENSCAFG00845000805	1	many_to_many_DifferentNumber	ENSG00000229312;ENSG00000261447	0	NA	NA	NA	1
ENSCAFG00845000810	1	many_to_many_DifferentNumber	ENSG00000229312;ENSG00000261447	0	NA	NA	NA	1
ENSCAFG00845000819	1	many_to_many_DifferentNumber	ENSG00000229312;ENSG00000261447	0	NA	NA	NA	1
ENSCAFG00845000824	1	many_to_many_DifferentNumber	ENSG00000229312;ENSG00000261447	0	NA	NA	NA	1
ENSCAFG00845001284	1	one_to_one	ENSG00000274023	1	one_to_one	lncgSS.dw	ENSG00000274023	1
ENSCAFG00845001282	1	one_to_many	ENSG00000287591;ENSG00000238019	0	NA	NA	NA	1
ENSCAFG00845001407	1	many_to_many_DifferentNumber	ENSG00000285159;ENSG00000233893;ENSG00000203711	0	NA	NA	NA	1
ENSCAFG00845001410	1	many_to_many_DifferentNumber	ENSG00000285159;ENSG00000233893;ENSG00000203711	0	NA	NA	NA	1
ENSCAFG00845001437	1	many_to_one	ENSG00000234506	0	NA	NA	NA	1
ENSCAFG00845001442	1	many_to_one	ENSG00000234506	0	NA	NA	NA	1
ENSCAFG00845001455	1	many_to_one	ENSG00000234506	0	NA	NA	NA	1
ENSCAFG00845001474	1	many_to_one	ENSG00000234506	0	NA	NA	NA	1
ENSCAFG00845001447	1	many_to_one	ENSG00000226337	0	NA	NA	NA	1
ENSCAFG00845001463	1	many_to_one	ENSG00000226337	0	NA	NA	NA	1
ENSCAFG00845001477	1	one_to_many	ENSG00000224478;ENSG00000288845	1	one_to_one	lincDivg	ENSG00000224478	0
ENSCAFG00845001680	1	many_to_many_DifferentNumber	ENSG00000235086;ENSG00000234777	0	NA	NA	NA	1
ENSCAFG00845001694	1	many_to_many_DifferentNumber	ENSG00000235086;ENSG00000234777	0	NA	NA	NA	1
ENSCAFG00845001713	1	many_to_many_DifferentNumber	ENSG00000235086;ENSG00000234777	0	NA	NA	NA	1
ENSCAFG00845001683	1	many_to_many_DifferentNumber	ENSG00000231178;ENSG00000237927;ENSG00000286533	0	NA	NA	NA	1
ENSCAFG00845001689	1	many_to_many_DifferentNumber	ENSG00000231178;ENSG00000237927;ENSG00000286533	1	many_to_many	lincSS.dw	ENSG00000286533;ENSG00000237927	1
ENSCAFG00845001701	1	many_to_many_DifferentNumber	ENSG00000231178;ENSG00000237927;ENSG00000286533	1	many_to_many	lincSS.dw	ENSG00000286533;ENSG00000237927	1
ENSCAFG00845001707	1	many_to_many_DifferentNumber	ENSG00000231178;ENSG00000237927;ENSG00000286533	1	many_to_many	lincSS.dw	ENSG00000286533;ENSG00000237927	1
ENSCAFG00845001899	1	one_to_one	ENSG00000277837	0	NA	NA	NA	1
ENSCAFG00845002231	1	one_to_one	ENSG00000269656	0	NA	NA	NA	0
ENSCAFG00845002310	1	one_to_many	ENSG00000236404;ENSG00000236199	0	NA	NA	NA	1
ENSCAFG00845002556	1	one_to_one	ENSG00000267013	0	NA	NA	NA	0
ENSCAFG00845002599	1	one_to_many	ENSG00000285726;ENSG00000285564;ENSG00000285553;ENSG00000225437;ENSG00000225683;ENSG00000285610;ENSG00000281692;ENSG00000270419	1	one_to_many	lincConv	ENSG00000285726;ENSG00000285564	0
ENSCAFG00845002634	1	one_to_one	ENSG00000267766	0	NA	NA	NA	1
ENSCAFG00845002705	1	one_to_one	ENSG00000283125	0	NA	NA	NA	1
ENSCAFG00845002801	1	many_to_many_sameNumber	ENSG00000236724;ENSG00000237009;ENSG00000228322	0	NA	NA	NA	1
ENSCAFG00845002804	1	many_to_many_sameNumber	ENSG00000236724;ENSG00000237009;ENSG00000228322	0	NA	NA	NA	1
ENSCAFG00845002809	1	many_to_many_sameNumber	ENSG00000236724;ENSG00000237009;ENSG00000228322	0	NA	NA	NA	1
ENSCAFG00845002795	1	many_to_one	ENSG00000230001	0	NA	NA	NA	1
ENSCAFG00845002807	1	many_to_one	ENSG00000230001	0	NA	NA	NA	1
ENSCAFG00845002908	1	one_to_one	ENSG00000277324	1	one_to_one	lncgDivg	ENSG00000277324	1
ENSCAFG00845003088	1	one_to_one	ENSG00000269553	0	NA	NA	NA	1
ENSCAFG00845003176	1	one_to_one	ENSG00000224848	0	NA	NA	NA	1
ENSCAFG00845003835	1	one_to_many	ENSG00000229345;ENSG00000175611	1	one_to_one	lincSS.up	ENSG00000229345	1
ENSCAFG00845003833	1	one_to_many	ENSG00000268926;ENSG00000271314;ENSG00000271155;ENSG00000271659;ENSG00000228142	1	one_to_many	lncgDivg	ENSG00000271314;ENSG00000271155;ENSG00000271659	1
ENSCAFG00845004085	1	many_to_one	ENSG00000271384	0	NA	NA	NA	1
ENSCAFG00845004102	1	many_to_one	ENSG00000271384	0	NA	NA	NA	1
ENSCAFG00845004104	1	many_to_one	ENSG00000271384	0	NA	NA	NA	0
ENSCAFG00845004120	1	many_to_one	ENSG00000271384	0	NA	NA	NA	1
ENSCAFG00845004078	1	many_to_one	ENSG00000229065	0	NA	NA	NA	1
ENSCAFG00845004093	1	many_to_one	ENSG00000229065	0	NA	NA	NA	0
ENSCAFG00845004116	1	many_to_one	ENSG00000229065	0	NA	NA	NA	1
ENSCAFG00845004415	1	many_to_many_DifferentNumber	ENSG00000267177;ENSG00000286926;ENSG00000267393;ENSG00000267690;ENSG00000267694;ENSG00000267529;ENSG00000267366;ENSG00000267136;ENSG00000267503;ENSG00000266954	0	NA	NA	NA	1
ENSCAFG00845004418	1	many_to_many_DifferentNumber	ENSG00000267177;ENSG00000286926;ENSG00000267393;ENSG00000267690;ENSG00000267694;ENSG00000267529;ENSG00000267366;ENSG00000267136;ENSG00000267503;ENSG00000266954	0	NA	NA	NA	1
ENSCAFG00845004943	1	one_to_many	ENSG00000230815;ENSG00000236095	0	NA	NA	NA	1
ENSCAFG00845005022	1	one_to_many	ENSG00000236389;ENSG00000229722;ENSG00000231971;ENSG00000232310	0	NA	NA	NA	0
ENSCAFG00845005135	1	one_to_one	ENSG00000237987	0	NA	NA	NA	0
ENSCAFG00845005246	1	one_to_one	ENSG00000224374	0	NA	NA	NA	0
ENSCAFG00845005242	1	one_to_one	ENSG00000236703	0	NA	NA	NA	0
ENSCAFG00845005394	1	one_to_many	ENSG00000234084;ENSG00000287094;ENSG00000231028	1	one_to_many	lncgDivg	ENSG00000231028;ENSG00000287094;ENSG00000234084	1
ENSCAFG00845005397	1	one_to_many	ENSG00000233534;ENSG00000236378	0	NA	NA	NA	0
ENSCAFG00845005404	1	one_to_many	ENSG00000233262;ENSG00000285987	0	NA	NA	NA	1
ENSCAFG00845007067	1	one_to_one	ENSG00000286339	0	NA	NA	NA	1
ENSCAFG00845007656	1	one_to_one	ENSG00000267188	0	NA	NA	NA	0
ENSCAFG00845008111	1	many_to_many_sameNumber	ENSG00000267058;ENSG00000286613	0	NA	NA	NA	1
ENSCAFG00845008120	1	many_to_many_sameNumber	ENSG00000267058;ENSG00000286613	0	NA	NA	NA	1
ENSCAFG00845011697	1	one_to_one	ENSG00000229587	0	NA	NA	NA	1
ENSCAFG00845013941	1	many_to_many_DifferentNumber	ENSG00000227748;ENSG00000196634	1	one_to_one	lincSS.dw	ENSG00000227748	1
ENSCAFG00845013944	1	many_to_many_DifferentNumber	ENSG00000227748;ENSG00000196634	0	NA	NA	NA	1
ENSCAFG00845013950	1	many_to_many_DifferentNumber	ENSG00000227748;ENSG00000196634	0	NA	NA	NA	1
ENSCAFG00845013953	1	many_to_many_DifferentNumber	ENSG00000227748;ENSG00000196634	0	NA	NA	NA	1
ENSCAFG00845013964	1	many_to_many_DifferentNumber	ENSG00000227748;ENSG00000196634	1	one_to_one	lincSS.up	ENSG00000196634	1
ENSCAFG00845013934	1	one_to_many	ENSG00000272397;ENSG00000289851;ENSG00000233452	0	NA	NA	NA	1
ENSCAFG00845016414	1	one_to_one	ENSG00000268231	1	one_to_one	lncgSS.up	ENSG00000268231	0
ENSCAFG00845019916	1	one_to_one	ENSG00000224945	0	NA	NA	NA	0
ENSCAFG00845022158	1	many_to_one	ENSG00000289031	0	NA	NA	NA	1
ENSCAFG00845022179	1	many_to_one	ENSG00000289031	1	one_to_one	lncgSS.dw	ENSG00000289031	1
ENSCAFG00845023904	1	one_to_one	ENSG00000223446	1	one_to_one	lncgDivg	ENSG00000223446	0
ENSCAFG00845000171	1	one_to_one	ENSG00000271849	1	one_to_one	lncgDivg	ENSG00000271849	1
ENSCAFG00845000183	1	many_to_many_DifferentNumber	ENSG00000248876;ENSG00000248440;ENSG00000251367	0	NA	NA	NA	1
ENSCAFG00845000186	1	many_to_many_DifferentNumber	ENSG00000248876;ENSG00000248440;ENSG00000251367	1	many_to_many_strict	lincDivg	ENSG00000248440;ENSG00000251367;ENSG00000248876	1
ENSCAFG00845000192	1	many_to_many_DifferentNumber	ENSG00000248876;ENSG00000248440;ENSG00000251367	1	many_to_many_strict	lincDivg	ENSG00000248440;ENSG00000251367;ENSG00000248876	1
ENSCAFG00845000198	1	many_to_many_DifferentNumber	ENSG00000248876;ENSG00000248440;ENSG00000251367	1	many_to_many_strict	lincDivg	ENSG00000248440;ENSG00000251367;ENSG00000248876	1
ENSCAFG00845000314	1	one_to_one	ENSG00000259218	1	one_to_one	lincSS.up	ENSG00000259218	0
ENSCAFG00845000739	1	one_to_many	ENSG00000263327;ENSG00000248138;ENSG00000286888;ENSG00000249234	1	one_to_one	lncgConv	ENSG00000248138	1
ENSCAFG00845000781	1	one_to_one	ENSG00000286280	1	one_to_one	lincSS.up	ENSG00000286280	1
ENSCAFG00845000870	1	one_to_one	ENSG00000273691	1	one_to_one	lncgSS.dw	ENSG00000273691	1
ENSCAFG00845000864	1	one_to_one	ENSG00000259291	1	one_to_one	lncgConv	ENSG00000259291	1
ENSCAFG00845001762	1	one_to_one	ENSG00000249252	1	one_to_one	lncgConv	ENSG00000249252	1
ENSCAFG00845001772	1	many_to_one	ENSG00000250682	1	many_to_one	lincDivg	ENSG00000250682	0
ENSCAFG00845001779	1	many_to_one	ENSG00000250682	1	many_to_one	lincDivg	ENSG00000250682	0
ENSCAFG00845001792	1	many_to_one	ENSG00000250682	1	many_to_one	lincDivg	ENSG00000250682	0
ENSCAFG00845001811	1	many_to_one	ENSG00000250682	1	many_to_one	lincDivg	ENSG00000250682	0
ENSCAFG00845001817	1	many_to_one	ENSG00000250682	1	many_to_one	lincDivg	ENSG00000250682	0
ENSCAFG00845001849	1	many_to_one	ENSG00000250682	1	many_to_one	lincDivg	ENSG00000250682	0
ENSCAFG00845001857	1	many_to_one	ENSG00000250682	1	many_to_one	lincDivg	ENSG00000250682	0
ENSCAFG00845001870	1	many_to_one	ENSG00000250682	1	many_to_one	lincDivg	ENSG00000250682	0
ENSCAFG00845001879	1	many_to_one	ENSG00000250682	0	NA	NA	NA	0
ENSCAFG00845001886	1	many_to_one	ENSG00000250682	0	NA	NA	NA	0
ENSCAFG00845001900	1	many_to_one	ENSG00000250682	0	NA	NA	NA	0
ENSCAFG00845001764	1	many_to_many_DifferentNumber	ENSG00000249017;ENSG00000250958;ENSG00000247402;ENSG00000286338	1	many_to_one	lincSS.up	ENSG00000286338	0
ENSCAFG00845001784	1	many_to_many_DifferentNumber	ENSG00000249017;ENSG00000250958;ENSG00000247402;ENSG00000286338	1	many_to_one	lincSS.up	ENSG00000286338	0
ENSCAFG00845001787	1	many_to_many_DifferentNumber	ENSG00000249017;ENSG00000250958;ENSG00000247402;ENSG00000286338	1	many_to_one	lincSS.up	ENSG00000286338	0
ENSCAFG00845001804	1	many_to_many_DifferentNumber	ENSG00000249017;ENSG00000250958;ENSG00000247402;ENSG00000286338	1	many_to_one	lincSS.up	ENSG00000286338	0
ENSCAFG00845001826	1	many_to_many_DifferentNumber	ENSG00000249017;ENSG00000250958;ENSG00000247402;ENSG00000286338	1	many_to_one	lincSS.up	ENSG00000286338	0
ENSCAFG00845001834	1	many_to_many_DifferentNumber	ENSG00000249017;ENSG00000250958;ENSG00000247402;ENSG00000286338	1	many_to_one	lincSS.up	ENSG00000286338	0
ENSCAFG00845001844	1	many_to_many_DifferentNumber	ENSG00000249017;ENSG00000250958;ENSG00000247402;ENSG00000286338	1	many_to_one	lincSS.up	ENSG00000286338	0
ENSCAFG00845001863	1	many_to_many_DifferentNumber	ENSG00000249017;ENSG00000250958;ENSG00000247402;ENSG00000286338	1	many_to_one	lincSS.up	ENSG00000286338	0
ENSCAFG00845001893	1	many_to_many_DifferentNumber	ENSG00000249017;ENSG00000250958;ENSG00000247402;ENSG00000286338	1	one_to_one	lincDivg	ENSG00000250958	0
ENSCAFG00845002130	1	many_to_one	ENSG00000250806	0	NA	NA	NA	1
ENSCAFG00845002139	1	many_to_one	ENSG00000250806	1	many_to_one	lincConv	ENSG00000250806	1
ENSCAFG00845002148	1	many_to_one	ENSG00000250806	1	many_to_one	lincConv	ENSG00000250806	1
ENSCAFG00845002155	1	many_to_one	ENSG00000250806	1	many_to_one	lincConv	ENSG00000250806	1
ENSCAFG00845002656	1	one_to_one	ENSG00000287154	1	one_to_one	lncgDivg	ENSG00000287154	0
ENSCAFG00845003020	1	one_to_one	ENSG00000259415	1	one_to_one	lncgSS.dw	ENSG00000259415	0
ENSCAFG00845003235	1	one_to_many	ENSG00000273396;ENSG00000247708	0	NA	NA	NA	1
ENSCAFG00845003755	1	many_to_one	ENSG00000246859	1	one_to_one	lncgConv	ENSG00000246859	0
ENSCAFG00845003761	1	many_to_one	ENSG00000246859	0	NA	NA	NA	0
ENSCAFG00845003776	1	many_to_one	ENSG00000246859	0	NA	NA	NA	0
ENSCAFG00845003869	1	one_to_one	ENSG00000253613	1	one_to_one	lncgConv	ENSG00000253613	1
ENSCAFG00845003877	1	one_to_one	ENSG00000248428	0	NA	NA	NA	1
ENSCAFG00845004015	1	many_to_one	ENSG00000254106	0	NA	NA	NA	1
ENSCAFG00845004099	1	many_to_one	ENSG00000254106	0	NA	NA	NA	1
ENSCAFG00845004766	1	one_to_one	ENSG00000249207	1	one_to_one	lncgConv	ENSG00000249207	1
ENSCAFG00845004763	1	one_to_one	ENSG00000249685	0	NA	NA	NA	1
ENSCAFG00845005037	1	one_to_one	ENSG00000259548	1	one_to_one	lncgSS.dw	ENSG00000259548	1
ENSCAFG00845006633	1	many_to_one	ENSG00000288846	0	NA	NA	NA	1
ENSCAFG00845006640	1	many_to_one	ENSG00000288846	0	NA	NA	NA	1
ENSCAFG00845006787	1	one_to_many	ENSG00000259792;ENSG00000290667	0	NA	NA	NA	1
ENSCAFG00845007874	1	many_to_one	ENSG00000289201	1	many_to_one	lincSS.dw	ENSG00000289201	0
ENSCAFG00845007915	1	many_to_one	ENSG00000289201	1	many_to_one	lincSS.dw	ENSG00000289201	0
ENSCAFG00845008003	1	many_to_one	ENSG00000289201	0	NA	NA	NA	0
ENSCAFG00845007929	1	many_to_many_DifferentNumber	ENSG00000249453;ENSG00000289902	0	NA	NA	NA	0
ENSCAFG00845007938	1	many_to_many_DifferentNumber	ENSG00000249453;ENSG00000289902	0	NA	NA	NA	0
ENSCAFG00845007946	1	many_to_many_DifferentNumber	ENSG00000249453;ENSG00000289902	0	NA	NA	NA	0
ENSCAFG00845007957	1	many_to_many_DifferentNumber	ENSG00000249453;ENSG00000289902	0	NA	NA	NA	0
ENSCAFG00845007977	1	many_to_many_DifferentNumber	ENSG00000249453;ENSG00000289902	0	NA	NA	NA	0
ENSCAFG00845007984	1	many_to_many_DifferentNumber	ENSG00000249453;ENSG00000289902	0	NA	NA	NA	0
