gnId	nbTp	feelLncPcgClassName	feelLncPcgClassType	feelLncPcgGnId	feelLncPcgGnName	feelLncPcgGnDist	feelLncPcgClassNameByTp	feelLncPcgGnIdByTp	feelLncPcgGnNameByTp	feelLncPcgGnDistByTp
ENSG00000279928	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSG00000228037	1	lincSSup	1.1.1	ENSG00000157870	PRXL2B	1958	lincSSup	ENSG00000157870	PRXL2B	1958
ENSG00000142611	10	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSG00000284616	1	unclassified	unclassified	NA	NA	NA	unclassified	NA	NA	NA
ENSG00000157911	9	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSG00000269896	2	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSG00000228463	6	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSG00000260972	1	unclassified	unclassified	NA	NA	NA	unclassified	NA	NA	NA
ENSG00000224340	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSG00000226374	4	lincSSup	n.1.1	ENSG00000198912	C1orf174	44254	lincSSup;lincSSup;lincSSup;lincSSup	ENSG00000198912;ENSG00000198912;ENSG00000198912;ENSG00000198912	C1orf174;C1orf174;C1orf174;C1orf174	44254;44268;46851;46851
ENSG00000229280	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSG00000142655	4	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSG00000232596	8	lincSSup	n.1.1	ENSG00000196581	AJAP1	60593	lincSSup;lincSSup;lincSSup;lincSSup;lincSSup;lincSSup;lincSSup;lincSSup	ENSG00000196581;ENSG00000196581;ENSG00000196581;ENSG00000196581;ENSG00000196581;ENSG00000196581;ENSG00000196581;ENSG00000196581	AJAP1;AJAP1;AJAP1;AJAP1;AJAP1;AJAP1;AJAP1;AJAP1	60600;70901;71188;60593;60600;60600;69515;60593
ENSG00000235054	13	unclassified	unclassified	NA	NA	NA	unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified	NA	NA	NA
ENSG00000231510	1	unclassified	unclassified	NA	NA	NA	unclassified	NA	NA	NA
ENSG00000149527	8	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSG00000284739	1	unclassified	unclassified	NA	NA	NA	unclassified	NA	NA	NA
ENSG00000171621	4	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSG00000272235	1	lncgASinNest	1.1.1	ENSG00000142611	PRDM16	0	lncgASinNest	ENSG00000142611	PRDM16	0
ENSG00000284694	1	unclassified	unclassified	NA	NA	NA	unclassified	NA	NA	NA
ENSG00000224387	1	lncgASinNest	1.1.1	ENSG00000149527	PLCH2	0	lncgASinNest	ENSG00000149527	PLCH2	0
ENSG00000142583	10	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSG00000284674	1	unclassified	unclassified	NA	NA	NA	unclassified	NA	NA	NA
ENSG00000224338	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSG00000116786	5	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSG00000287727	1	lncgASinNest	1.1.1	ENSG00000142655	PEX14	0	lncgASinNest	ENSG00000142655	PEX14	0
ENSG00000286448	1	unclassified	unclassified	NA	NA	NA	unclassified	NA	NA	NA
ENSG00000284703	1	unclassified	unclassified	NA	NA	NA	unclassified	NA	NA	NA
ENSG00000226457	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSG00000173614	5	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSG00000215720	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSG00000241326	1	lncgSSexNest	1.1.1	ENSG00000173614	NMNAT1	0	lncgSSexNest	ENSG00000173614	NMNAT1	0
ENSG00000233623	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSG00000162592	3	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSG00000204624	3	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSG00000142606	9	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSG00000225931	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
