PCG.Canis_lupus_familiaris	lncRNA.Canis_lupus_familiaris	conf.Canis_lupus_familiaris	class.Canis_lupus_familiaris	distance.Canis_lupus_familiaris	PCG.Mus_musculus	lncRNA.Mus_musculus	conf.Mus_musculus	class.Mus_musculus	distance.Mus_musculus
ENSCAFG00845000021	ENSCAFG00845000022	lincSS.up	1.1.1	13715	ENSMUSG00000053950	ENSMUSG00000118373	lincSS.up	1.1.1	6439
ENSCAFG00845000045	ENSCAFG00845000055	lncgDivg	1.1.1	631	ENSMUSG00000033323	ENSMUSG00000120406	lncgDivg	1.1.1	429
ENSCAFG00845000045	ENSCAFG00845000055	lncgDivg	1.1.1	631	ENSMUSG00000033323	ENSMUSG00000118070	lncgDivg	1.1.1	0
ENSCAFG00845000056	ENSCAFG00845000051	lincSS.up	1.1.1	63482	ENSMUSG00000024750	ENSMUSG00000118090	lincSS.up	1.1.1	60305
