lncRNAid_Mus_musculus	isTable_1_Homo_sapiens	orthology_type_synteny_Homo_sapiens	lncRNA_synteny_id_Homo_sapiens	isTable_2_Homo_sapiens	orthology_type_configuration_Homo_sapiens	configuration_type_configuration_Homo_sapiens	lncRNA_configuration_id_Homo_sapiens	isTable_3_Homo_sapiens	isTable_1_Canis_lupus_familiaris	orthology_type_synteny_Canis_lupus_familiaris	lncRNA_synteny_id_Canis_lupus_familiaris	isTable_2_Canis_lupus_familiaris	orthology_type_configuration_Canis_lupus_familiaris	configuration_type_configuration_Canis_lupus_familiaris	lncRNA_configuration_id_Canis_lupus_familiaris	isTable_3_Canis_lupus_familiaris	sumIsTable	sumIsTable_1	sumIsTable_2	sumIsTable_3
ENSMUSG00000000031	0	NA	NA	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	1	1	0	0	1
ENSMUSG00000006462	1	many_to_many_DifferentNumber	ENSG00000203999;ENSG00000224397	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	0	1	1	0	0
ENSMUSG00000009551	0	NA	NA	1	one_to_one	lncgDivg	ENSG00000286196	1	0	NA	NA	0	NA	NA	NA	1	3	0	1	2
ENSMUSG00000010492	1	one_to_one	ENSG00000280213	1	one_to_one	lncgConv	ENSG00000280213	1	0	NA	NA	1	one_to_one	lncgConv	ENSCAFG00845018871	1	5	1	2	2
ENSMUSG00000020033	1	many_to_one	ENSG00000257438	0	NA	NA	NA	1	1	many_to_one	ENSCAFG00845005687	0	NA	NA	NA	1	4	2	0	2
ENSMUSG00000020164	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	2	0	0	2
ENSMUSG00000020548	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	2	0	0	2
ENSMUSG00000020624	1	one_to_many	ENSG00000263680;ENSG00000263893;ENSG00000264026	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	0	1	1	0	0
ENSMUSG00000020703	0	NA	NA	1	many_to_many	lncgDivg	ENSG00000263571;ENSG00000264643;ENSG00000263435;ENSG00000264990;ENSG00000265125;ENSG00000266535;ENSG00000264791;ENSG00000265115;ENSG00000265697;ENSG00000265689	0	0	NA	NA	0	NA	NA	NA	1	2	0	1	1
ENSMUSG00000020812	0	NA	NA	0	NA	NA	NA	0	1	one_to_one	ENSCAFG00845017031	1	one_to_one	lncgConv	ENSCAFG00845017031	0	2	1	1	0
ENSMUSG00000020992	1	one_to_one	ENSG00000258857	1	one_to_one	lncgDivg	ENSG00000258857	1	0	NA	NA	0	NA	NA	NA	1	4	1	1	2
ENSMUSG00000021101	1	one_to_one	ENSG00000258630	1	one_to_one	lncgDivg	ENSG00000258630	1	0	NA	NA	0	NA	NA	NA	1	4	1	1	2
ENSMUSG00000021268	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	2	0	0	2
ENSMUSG00000021566	1	one_to_one	ENSG00000249201	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	1	3	1	0	2
ENSMUSG00000021600	1	many_to_many_DifferentNumber	ENSG00000259603;ENSG00000248962;ENSG00000250481;ENSG00000260763;ENSG00000251506;ENSG00000248311;ENSG00000249994;ENSG00000248973;ENSG00000250529;ENSG00000251426;ENSG00000250579	1	one_to_many	lincDivg	ENSG00000250529;ENSG00000251426	1	0	NA	NA	0	NA	NA	NA	1	4	1	1	2
ENSMUSG00000022116	1	many_to_many_sameNumber	ENSG00000229011;ENSG00000281721;ENSG00000229175;ENSG00000227676;ENSG00000285902	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	0	1	1	0	0
ENSMUSG00000022187	0	NA	NA	0	NA	NA	NA	1	1	many_to_one	ENSCAFG00845006164	1	one_to_one	lincSS.dw	ENSCAFG00845006164	1	4	1	1	2
ENSMUSG00000022288	1	many_to_one	ENSG00000253629	1	many_to_one	lncgDivg	ENSG00000253629	1	1	many_to_many_DifferentNumber	ENSCAFG00845007422;ENSCAFG00845007429	0	NA	NA	NA	1	5	2	1	2
ENSMUSG00000022639	1	many_to_many_DifferentNumber	ENSG00000287421;ENSG00000288848;ENSG00000286956;ENSG00000243701;ENSG00000272597	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	0	1	1	0	0
ENSMUSG00000024658	0	NA	NA	1	one_to_many	lncgDivg	ENSG00000255126;ENSG00000255118	0	0	NA	NA	0	NA	NA	NA	1	2	0	1	1
ENSMUSG00000025450	1	many_to_one	ENSG00000249492	1	one_to_many	lncgDivg	ENSG00000248554;ENSG00000248240	0	0	NA	NA	0	NA	NA	NA	0	2	1	1	0
ENSMUSG00000025783	0	NA	NA	1	many_to_one	lncgDivg	ENSG00000197308	0	0	NA	NA	0	NA	NA	NA	0	1	0	1	0
ENSMUSG00000025961	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	0	1	0	0	1
ENSMUSG00000026736	0	NA	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	0	1	0	0	1
ENSMUSG00000027196	0	NA	NA	1	one_to_one	lncgConv	ENSG00000244926	1	0	NA	NA	0	NA	NA	NA	1	3	0	1	2
ENSMUSG00000027345	1	many_to_many_DifferentNumber	ENSG00000276688;ENSG00000230563;ENSG00000266908;ENSG00000235820	1	one_to_one	lincDivg	ENSG00000276688	0	1	many_to_many_sameNumber	ENSCAFG00845028074;ENSCAFG00845028099	0	NA	NA	NA	0	3	2	1	0
ENSMUSG00000028009	0	NA	NA	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	1	1	0	0	1
ENSMUSG00000028177	1	one_to_one	ENSG00000226088	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	0	1	1	0	0
ENSMUSG00000028244	1	many_to_many_DifferentNumber	ENSG00000289501;ENSG00000271860	0	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	0	1	1	0	0
