PCG.Mus_musculus	conf.Mus_musculus	PCG.Canis_lupus_familiaris	conf.Canis_lupus_familiaris	lncRNA.Mus_musculus	class.Mus_musculus	distance.Mus_musculus	lncRNA.Canis_lupus_familiaris	class.Canis_lupus_familiaris	distance.Canis_lupus_familiaris	orthology_type.Mus_musculus-Canis_lupus_familiaris
ENSMUSG00000030549	lincConv	ENSCAFG00845000295	lincConv	ENSMUSG00000108616	n.1.1	33330	ENSCAFG00845000264	1.1.1	24965	one_to_one
ENSMUSG00000020415	lincConv	ENSCAFG00845001057	lincConv	ENSMUSG00000084889	1.1.1	33067	ENSCAFG00845001039	n.1.1	62128	one_to_one
ENSMUSG00000056153	lincConv	ENSCAFG00845001189	lincConv	ENSMUSG00000118352	1.1.1	6417	ENSCAFG00845001172	1.1.1	18107	one_to_one
ENSMUSG00000039960	lincConv	ENSCAFG00845001719	lincConv	ENSMUSG00000110467	1.1.1	63888	ENSCAFG00845001708	1.1.1	23308	one_to_one
ENSMUSG00000037855	lincConv	ENSCAFG00845003326	lincConv	ENSMUSG00000116971	1.1.1	49702	ENSCAFG00845003356;ENSCAFG00845003341;ENSCAFG00845003358	1.1.1;1.1.1;1.1.1	26707;18508;43742	one_to_many
ENSMUSG00000040721	lincConv	ENSCAFG00845004064	lincConv	ENSMUSG00000093452	n.n.1	0	ENSCAFG00845004034	1.1.1	5511	one_to_one
ENSMUSG00000078591	lincConv	ENSCAFG00845004500	lincConv	ENSMUSG00000085892	1.1.1	77552	ENSCAFG00845004462;ENSCAFG00845004493;ENSCAFG00845004486;ENSCAFG00845004470	1.1.1;1.1.1;1.1.1;1.1.1	93361;14605;20880;74577	one_to_many
ENSMUSG00000024098	lincConv	ENSCAFG00845004527	lincConv	ENSMUSG00000117229	n.1.1	5490	ENSCAFG00845004593	1.1.1	12693	one_to_one
ENSMUSG00000028792	lincConv	ENSCAFG00845005127	lincConv	ENSMUSG00000120256	1.1.1	9690	ENSCAFG00845005161	1.1.1	13767	one_to_one
ENSMUSG00000021557	lincConv	ENSCAFG00845005286	lincConv	ENSMUSG00000114787	n.1.1	22581	ENSCAFG00845005320;ENSCAFG00845005325;ENSCAFG00845005315	n.1.1;1.1.1;1.1.1	24923;73131;9270	one_to_many
ENSMUSG00000020205	lincConv	ENSCAFG00845005752	lincConv	ENSMUSG00000097082	1.1.1	78118	ENSCAFG00845005712;ENSCAFG00845027451	1.1.1;1.1.1	12102;54184	one_to_many
ENSMUSG00000048677	lincConv	ENSCAFG00845005889	lincConv	ENSMUSG00000108967	1.1.1	19567	ENSCAFG00845005798	1.1.1	19498	one_to_one
ENSMUSG00000003721	lincConv	ENSCAFG00845005970	lincConv	ENSMUSG00000101700	1.1.1	76827	ENSCAFG00845005912	n.1.1	17852	one_to_one
ENSMUSG00000061533	lincConv	ENSCAFG00845008464	lincConv	ENSMUSG00000113747	1.1.1	26974	ENSCAFG00845008335	1.1.1	13820	one_to_one
ENSMUSG00000104445	lincConv	ENSCAFG00845009336	lincConv	ENSMUSG00000097156	n.1.1	12913	ENSCAFG00845009096	n.1.1	14671	one_to_one
ENSMUSG00000026917	lincConv	ENSCAFG00845011994	lincConv	ENSMUSG00000120033	1.1.1	59124	ENSCAFG00845012067	1.1.1	14003	one_to_one
ENSMUSG00000024411	lincConv	ENSCAFG00845012372	lincConv	ENSMUSG00000117645	1.1.1	27190	ENSCAFG00845012449	1.1.1	37343	one_to_one
ENSMUSG00000040490	lincConv	ENSCAFG00845014692	lincConv	ENSMUSG00000101012	n.1.1	14675	ENSCAFG00845014656	1.1.1	39063	one_to_one
ENSMUSG00000034021	lincConv	ENSCAFG00845014958	lincConv	ENSMUSG00000107047	1.1.1	53273	ENSCAFG00845014882	1.1.1	7248	one_to_one
ENSMUSG00000043857	lincConv	ENSCAFG00845015937	lincConv	ENSMUSG00000086902	n.1.1	48086	ENSCAFG00845015860	n.1.1	29943	one_to_one
ENSMUSG00000037826	lincConv	ENSCAFG00845016529	lincConv	ENSMUSG00000093535	1.1.1	8831	ENSCAFG00845016439	1.1.1	16563	one_to_one
ENSMUSG00000005583	lincConv	ENSCAFG00845017289	lincConv	ENSMUSG00000097265	n.n.1	0	ENSCAFG00845017881;ENSCAFG00845018016	1.1.1;1.1.1	23726;56847	one_to_many
ENSMUSG00000057234	lincConv	ENSCAFG00845018354	lincConv	ENSMUSG00000087544	1.1.1	66853	ENSCAFG00845018649;ENSCAFG00845018665	1.1.1;1.1.1	73263;88364	one_to_many
ENSMUSG00000028266	lincConv	ENSCAFG00845019328	lincConv	ENSMUSG00000120269	1.1.1	22730	ENSCAFG00845019278;ENSCAFG00845019300	1.1.1;1.1.1	36880;19753	one_to_many
ENSMUSG00000032540	lincConv	ENSCAFG00845020085	lincConv	ENSMUSG00000111146	n.1.1	54294	ENSCAFG00845020052	1.1.1	55277	one_to_one
