PCG.Mus_musculus	lncRNA.Mus_musculus	conf.Mus_musculus	class.Mus_musculus	distance.Mus_musculus	PCG.Canis_lupus_familiaris	lncRNA.Canis_lupus_familiaris	conf.Canis_lupus_familiaris	class.Canis_lupus_familiaris	distance.Canis_lupus_familiaris
ENSMUSG00000000049	ENSMUSG00000084916	lncgSS.dw	n.1.1	0	ENSCAFG00845028150	ENSCAFG00845028199	lncgSS.dw	1.1.1	1385
ENSMUSG00000000078	ENSMUSG00000113757	lincSS.dw	1.1.1	16715	ENSCAFG00845003083	ENSCAFG00845003152	lincSS.dw	1.1.1	89339
ENSMUSG00000000078	ENSMUSG00000113757	lincSS.dw	1.1.1	16715	ENSCAFG00845003083	ENSCAFG00845003118	lincSS.dw	n.1.1	23238
ENSMUSG00000000078	ENSMUSG00000113017	lincSS.dw	n.1.1	45399	ENSCAFG00845003083	ENSCAFG00845003152	lincSS.dw	1.1.1	89339
ENSMUSG00000000078	ENSMUSG00000113017	lincSS.dw	n.1.1	45399	ENSCAFG00845003083	ENSCAFG00845003118	lincSS.dw	n.1.1	23238
ENSMUSG00000000093	ENSMUSG00000069785	lncgConv	1.1.1	4842	ENSCAFG00845027360	ENSCAFG00845027339	lncgConv	1.1.1	1481
ENSMUSG00000000142	ENSMUSG00000086268	lncgDivg	1.1.1	0	ENSCAFG00845028532	ENSCAFG00845028477	lncgDivg	1.1.1	274
ENSMUSG00000000184	ENSMUSG00000107013	lincSS.up	1.1.1	99445	ENSCAFG00845030681	ENSCAFG00845030688	lincSS.up	1.1.1	7711
ENSMUSG00000000184	ENSMUSG00000120876	lncgSS.up	1.1.1	1584	ENSCAFG00845030681	ENSCAFG00845030686	lncgSS.up	1.1.1	2778
ENSMUSG00000000420	ENSMUSG00000117570	lincSS.dw	1.1.1	52548	ENSCAFG00845004806	ENSCAFG00845004791	lincSS.dw	1.1.1	63030
ENSMUSG00000000420	ENSMUSG00000117570	lincSS.dw	1.1.1	52548	ENSCAFG00845004806	ENSCAFG00845004796	lincSS.dw	1.1.1	54334
ENSMUSG00000000489	ENSMUSG00000120517	lincDivg	1.1.1	9512	ENSCAFG00845022039	ENSCAFG00845021997	lincDivg	1.1.1	17671
ENSMUSG00000000673	ENSMUSG00000121087	lncgDivg	1.1.1	0	ENSCAFG00845025017	ENSCAFG00845025071	lncgDivg	1.1.1	686
ENSMUSG00000000782	ENSMUSG00000120287	lncgSS.up	1.1.1	509	ENSCAFG00845012366	ENSCAFG00845012273	lncgSS.up	1.1.1	2320
ENSMUSG00000000823	ENSMUSG00000010492	lncgConv	n.n.n	0	ENSCAFG00845018997	ENSCAFG00845018871	lncgConv	1.1.1	3592
ENSMUSG00000001419	ENSMUSG00000096935	lncgConv	n.n.1	0	ENSCAFG00845009027	ENSCAFG00845009073	lncgConv	1.1.1	943
ENSMUSG00000002107	ENSMUSG00000099424	lincDivg	1.1.1	20376	ENSCAFG00845000818	ENSCAFG00845000985	lincDivg	1.1.1	99397
ENSMUSG00000002221	ENSMUSG00000120915	lncgDivg	1.1.1	38	ENSCAFG00845012859	ENSCAFG00845012942	lncgDivg	1.1.1	2470
ENSMUSG00000002221	ENSMUSG00000120915	lncgDivg	1.1.1	38	ENSCAFG00845012859	ENSCAFG00845012921	lncgDivg	n.1.1	1142
ENSMUSG00000002845	ENSMUSG00000091238	lncgDivg	1.1.1	0	ENSCAFG00845016497	ENSCAFG00845016555	lncgDivg	1.1.1	629
ENSMUSG00000003721	ENSMUSG00000101700	lincConv	1.1.1	76827	ENSCAFG00845005970	ENSCAFG00845005912	lincConv	n.1.1	17852
ENSMUSG00000004698	ENSMUSG00000113386	lncgSS.up	1.1.1	0	ENSCAFG00845006703	ENSCAFG00845006556	lncgSS.up	1.1.1	1241
ENSMUSG00000005069	ENSMUSG00000107737	lincSS.dw	1.1.1	32297	ENSCAFG00845024224	ENSCAFG00845024131	lincSS.dw	1.1.1	5386
ENSMUSG00000005371	ENSMUSG00000097676	lincSS.up	1.1.1	80793	ENSCAFG00845005550	ENSCAFG00845005579	lincSS.up	1.1.1	6469
ENSMUSG00000005583	ENSMUSG00000097265	lincConv	n.n.1	0	ENSCAFG00845017289	ENSCAFG00845017881	lincConv	1.1.1	23726
ENSMUSG00000005583	ENSMUSG00000097265	lincConv	n.n.1	0	ENSCAFG00845017289	ENSCAFG00845018016	lincConv	1.1.1	56847
ENSMUSG00000005583	ENSMUSG00000050334	lincSS.dw	n.1.1	48182	ENSCAFG00845017289	ENSCAFG00845017914	lincSS.dw	n.1.1	31504
ENSMUSG00000005980	ENSMUSG00000084790	lncgDivg	n.1.1	0	ENSCAFG00845002013	ENSCAFG00845002048	lncgDivg	1.1.1	238
ENSMUSG00000006169	ENSMUSG00000086686	lincSS.up	1.1.1	10793	ENSCAFG00845001528	ENSCAFG00845001502	lincSS.up	n.1.1	83022
ENSMUSG00000006435	ENSMUSG00000118127	lncgDivg	1.1.1	0	ENSCAFG00845027843	ENSCAFG00845027810	lncgDivg	1.1.1	524
ENSMUSG00000006435	ENSMUSG00000117659	lncgDivg	1.1.1	0	ENSCAFG00845027843	ENSCAFG00845027810	lncgDivg	1.1.1	524
ENSMUSG00000006715	ENSMUSG00000120886	lncgDivg	1.1.1	0	ENSCAFG00845020530	ENSCAFG00845020481	lncgDivg	n.1.1	378
ENSMUSG00000006800	ENSMUSG00000085046	lincSS.up	1.1.1	51567	ENSCAFG00845022596	ENSCAFG00845022844	lincSS.up	1.1.1	27808
ENSMUSG00000006800	ENSMUSG00000085618	lincSS.up	1.1.1	34130	ENSCAFG00845022596	ENSCAFG00845022844	lincSS.up	1.1.1	27808
ENSMUSG00000007411	ENSMUSG00000113910	lncgSS.dw	1.1.1	0	ENSCAFG00845018426	ENSCAFG00845018900	lncgSS.dw	1.1.1	935
ENSMUSG00000008305	ENSMUSG00000084910	lncgDivg	n.1.1	325	ENSCAFG00845007046	ENSCAFG00845006899	lncgDivg	n.n.n	1456
ENSMUSG00000008305	ENSMUSG00000084910	lncgDivg	n.1.1	325	ENSCAFG00845007046	ENSCAFG00845006972	lncgDivg	1.1.1	78
ENSMUSG00000008305	ENSMUSG00000086027	lncgDivg	1.1.1	0	ENSCAFG00845007046	ENSCAFG00845006899	lncgDivg	n.n.n	1456
ENSMUSG00000008305	ENSMUSG00000086027	lncgDivg	1.1.1	0	ENSCAFG00845007046	ENSCAFG00845006972	lncgDivg	1.1.1	78
ENSMUSG00000008730	ENSMUSG00000085754	lncgDivg	n.n.1	0	ENSCAFG00845023430	ENSCAFG00845023322	lncgDivg	1.1.1	4209
ENSMUSG00000008730	ENSMUSG00000104874	lncgSS.up	1.1.1	0	ENSCAFG00845023430	ENSCAFG00845023309	lncgSS.up	1.1.1	4208
ENSMUSG00000008730	ENSMUSG00000105229	lncgSS.up	1.1.1	0	ENSCAFG00845023430	ENSCAFG00845023309	lncgSS.up	1.1.1	4208
ENSMUSG00000009097	ENSMUSG00000075335	lncgDivg	1.1.1	1321	ENSCAFG00845029160	ENSCAFG00845029298	lncgDivg	n.1.1	3315
ENSMUSG00000009828	ENSMUSG00000121490	lncgSS.dw	n.1.1	3776	ENSCAFG00845009901	ENSCAFG00845009849	lncgSS.dw	1.1.1	766
ENSMUSG00000010175	ENSMUSG00000119953	lncgDivg	n.n.1	0	ENSCAFG00845001606	ENSCAFG00845001588	lncgDivg	n.1.1	283
ENSMUSG00000010175	ENSMUSG00000079045	lncgDivg	n.1.1	0	ENSCAFG00845001606	ENSCAFG00845001588	lncgDivg	n.1.1	283
ENSMUSG00000010175	ENSMUSG00000099404	lncgDivg	1.1.1	0	ENSCAFG00845001606	ENSCAFG00845001588	lncgDivg	n.1.1	283
ENSMUSG00000011154	ENSMUSG00000109248	lincSS.up	1.1.1	5542	ENSCAFG00845004797	ENSCAFG00845004813	lincSS.up	1.1.1	12055
ENSMUSG00000013662	ENSMUSG00000120470	lncgDivg	1.1.1	0	ENSCAFG00845029330	ENSCAFG00845029373	lncgDivg	1.1.1	863
ENSMUSG00000014668	ENSMUSG00000105541	lncgDivg	1.1.1	0	ENSCAFG00845025229	ENSCAFG00845025179	lncgDivg	1.1.1	201
ENSMUSG00000015016	ENSMUSG00000110682	lincDivg	n.1.1	12465	ENSCAFG00845002712	ENSCAFG00845002775	lincDivg	n.n.n	22639
ENSMUSG00000015016	ENSMUSG00000110682	lincDivg	n.1.1	12465	ENSCAFG00845002712	ENSCAFG00845002749	lincDivg	1.1.1	5819
ENSMUSG00000015016	ENSMUSG00000110523	lincDivg	n.n.n	23094	ENSCAFG00845002712	ENSCAFG00845002775	lincDivg	n.n.n	22639
ENSMUSG00000015016	ENSMUSG00000110523	lincDivg	n.n.n	23094	ENSCAFG00845002712	ENSCAFG00845002749	lincDivg	1.1.1	5819
ENSMUSG00000015165	ENSMUSG00000109420	lncgDivg	1.1.1	0	ENSCAFG00845004919	ENSCAFG00845004914	lncgDivg	1.1.1	1707
ENSMUSG00000015165	ENSMUSG00000121222	lncgDivg	1.1.1	0	ENSCAFG00845004919	ENSCAFG00845004914	lncgDivg	1.1.1	1707
ENSMUSG00000015627	ENSMUSG00000084843	lincSS.up	1.1.1	35792	ENSCAFG00845017212	ENSCAFG00845017300	lincSS.up	1.1.1	35648
ENSMUSG00000015627	ENSMUSG00000084843	lincSS.up	1.1.1	35792	ENSCAFG00845017212	ENSCAFG00845017290	lincSS.up	1.1.1	23514
ENSMUSG00000015627	ENSMUSG00000056061	lncgDivg	1.1.1	0	ENSCAFG00845017212	ENSCAFG00845017267	lncgDivg	1.1.1	2445
ENSMUSG00000015709	ENSMUSG00000109341	lncgDivg	1.1.1	0	ENSCAFG00845004996	ENSCAFG00845004944	lncgDivg	n.1.1	1526
ENSMUSG00000015829	ENSMUSG00000073528	lncgSS.dw	n.1.1	0	ENSCAFG00845009439	ENSCAFG00845009888	lncgSS.dw	1.1.1	2768
ENSMUSG00000016494	ENSMUSG00000097325	lncgConv	1.1.1	0	ENSCAFG00845002498	ENSCAFG00845002478	lncgConv	1.1.1	422
ENSMUSG00000017144	ENSMUSG00000100496	lincDivg	1.1.1	70271	ENSCAFG00845008171	ENSCAFG00845008214	lincDivg	1.1.1	72032
ENSMUSG00000017144	ENSMUSG00000100496	lincDivg	1.1.1	70271	ENSCAFG00845008171	ENSCAFG00845008226	lincDivg	1.1.1	80194
ENSMUSG00000017144	ENSMUSG00000086349	lincDivg	1.1.1	92720	ENSCAFG00845008171	ENSCAFG00845008214	lincDivg	1.1.1	72032
ENSMUSG00000017144	ENSMUSG00000086349	lincDivg	1.1.1	92720	ENSCAFG00845008171	ENSCAFG00845008226	lincDivg	1.1.1	80194
ENSMUSG00000019256	ENSMUSG00000113580	lincDivg	1.1.1	10993	ENSCAFG00845005867	ENSCAFG00845005851	lincDivg	1.1.1	77454
ENSMUSG00000019256	ENSMUSG00000113580	lincDivg	1.1.1	10993	ENSCAFG00845005867	ENSCAFG00845005842	lincDivg	1.1.1	97635
