gnId	nbTp	feelLncPcgClassName	feelLncPcgClassType	feelLncPcgGnId	feelLncPcgGnName	feelLncPcgGnDist	feelLncPcgClassNameByTp	feelLncPcgGnIdByTp	feelLncPcgGnNameByTp	feelLncPcgGnDistByTp
ENSMUSG00000104385	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000086053	1	lncgASinNest	1.1.1	ENSMUSG00000026207	Speg	0	lncgASinNest	ENSMUSG00000026207	Speg	0
ENSMUSG00000101231	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000102135	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000103282	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000101097	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000100764	2	lncgASin	n.n.1	ENSMUSG00000026051	Ecrg4	0	lncgASinOvlp;lincConv	ENSMUSG00000026051;ENSMUSG00000026051	Ecrg4;Ecrg4	0;1006
ENSMUSG00000102534	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000100831	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000100884	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000100635	1	lincSSdw	1.1.1	ENSMUSG00000026051	Ecrg4	337	lincSSdw	ENSMUSG00000026051	Ecrg4	337
ENSMUSG00000102213	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000100480	1	lincSSdw	1.1.1	ENSMUSG00000057363	Uxs1	684	lincSSdw	ENSMUSG00000057363	Uxs1	684
ENSMUSG00000089037	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000103629	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00002076531	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000100025	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000051285	8	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000098201	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000103509	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000048538	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000103709	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000077244	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000102768	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000097797	4	unclassified	unclassified	NA	NA	NA	unclassified;unclassified;unclassified;unclassified	NA	NA	NA
ENSMUSG00000103498	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000103067	1	unclassified	unclassified	NA	NA	NA	unclassified	NA	NA	NA
ENSMUSG00000102320	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000104226	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000103903	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000103557	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000026312	9	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000100290	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000100758	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000099926	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000039748	10	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000118715	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000104158	2	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000103540	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000057363	8	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000047216	2	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000102788	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000102160	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000101253	1	unclassified	unclassified	NA	NA	NA	unclassified	NA	NA	NA
ENSMUSG00000101846	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000090243	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000100701	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000100555	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000101395	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000102728	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000088848	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00002075225	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000038702	4	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000101875	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000099732	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000101220	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000100020	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000101054	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000088691	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000099884	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000100304	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000101453	1	unclassified	unclassified	NA	NA	NA	unclassified	NA	NA	NA
ENSMUSG00000102105	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000099943	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00002075119	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000097648	1	unclassified	unclassified	NA	NA	NA	unclassified	NA	NA	NA
ENSMUSG00000101687	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000100515	3	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000033021	13	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000055214	6	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000078184	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000104363	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000103277	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000104157	1	lincDivg	1.1.1	ENSMUSG00000055214	Pld5	901	lincDivg	ENSMUSG00000055214	Pld5	901
ENSMUSG00000102446	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000104248	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000104021	1	unclassified	unclassified	NA	NA	NA	unclassified	NA	NA	NA
ENSMUSG00000103471	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000087875	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000033007	2	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000102605	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000070695	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000025909	11	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00002076179	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000102033	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
