lncRNA.Homo_sapiens	PCG_left.Homo_sapiens	PCG_right.Homo_sapiens	lncRNA_strand.Homo_sapiens	PCG_left_strand.Homo_sapiens	PCG_right_strand.Homo_sapiens	lncRNA_PCG_left_distance.Homo_sapiens	lncRNA_PCG_right_distance.Homo_sapiens	lncRNA.Canis_lupus_familiaris	PCG_left.Canis_lupus_familiaris	PCG_right.Canis_lupus_familiaris	lncRNA_strand.Canis_lupus_familiaris	PCG_left_strand.Canis_lupus_familiaris	PCG_right_strand.Canis_lupus_familiaris	lncRNA_PCG_left_distance.Canis_lupus_familiaris	lncRNA_PCG_right_distance.Canis_lupus_familiaris	PCG_strandCouple	type
ENSG00000228037;ENSG00000289610	ENSG00000157873	ENSG00000157870	+;+	+	+	25921;29971	4931; 881	NA	NA	NA	NA	NA	NA	NA	NA	discordant	many_to_zero
ENSG00000260972;ENSG00000284674	ENSG00000196581	ENSG00000131697	+;+	+	-	838369;318772	369833;889430	NA	NA	NA	NA	NA	NA	NA	NA	discordant	many_to_zero
ENSG00000284616;ENSG00000231510;ENSG00000284739;ENSG00000287586;ENSG00000284692;ENSG00000284666;ENSG00000236948;ENSG00000289893	ENSG00000196581	ENSG00000131697	-;-;-;-;-;-;-;-	+	-	 647319; 431850; 309345;  75602; 824127; 826178; 907100;1078749	 560883; 776352; 898857;1132600; 384075; 382024; 301102; 129453	NA	NA	NA	NA	NA	NA	NA	NA	discordant	many_to_zero
ENSG00000232596;ENSG00000235054;ENSG00000284668;ENSG00000233304;ENSG00000236423	ENSG00000198912	ENSG00000196581	+;+;+;+;+	-	+	682356;522902; 87008; 51361; 11222	 83128;242582;678476;714123;754262	NA	NA	NA	NA	NA	NA	NA	NA	discordant	many_to_zero
