PCG.Homo_sapiens	conf.Homo_sapiens	PCG.Mus_musculus	conf.Mus_musculus	lncRNA.Homo_sapiens	class.Homo_sapiens	distance.Homo_sapiens	lncRNA.Mus_musculus	class.Mus_musculus	distance.Mus_musculus	orthology_type.Homo_sapiens-Mus_musculus
ENSG00000119866	lincConv	ENSMUSG00000000861	lincConv	ENSG00000287640	1.1.1	64726	ENSMUSG00000086117	1.1.1	24614	one_to_one
ENSG00000198668	lincConv	ENSMUSG00000001175	lincConv	ENSG00000258678	n.1.1	43795	ENSMUSG00000113362	n.1.1	27940	one_to_one
ENSG00000105173	lincConv	ENSMUSG00000002068	lincConv	ENSG00000286538	1.1.1	14220	ENSMUSG00000108334	1.1.1	21883	one_to_one
ENSG00000117676	lincConv	ENSMUSG00000003644	lincConv	ENSG00000289452	1.1.1	45677	ENSMUSG00000084789	1.1.1	29676	one_to_one
ENSG00000125629	lincConv	ENSMUSG00000003721	lincConv	ENSG00000226856	n.1.1	21131	ENSMUSG00000101700	1.1.1	76827	one_to_one
ENSG00000081189	lincConv	ENSMUSG00000005583	lincConv	ENSG00000250555;ENSG00000245864;ENSG00000289008	1.1.1;n.n.1;1.1.1	24258;0;30958	ENSMUSG00000097265	n.n.1	0	many_to_one
ENSG00000157404	lincConv	ENSMUSG00000005672	lincConv	ENSG00000249727	n.1.1	95258	ENSMUSG00000106726	1.1.1	96834	one_to_one
ENSG00000157152	lincConv	ENSMUSG00000009394	lincConv	ENSG00000288952	n.n.1	0	ENSMUSG00000120571	1.1.1	34713	one_to_one
ENSG00000010818	lincConv	ENSMUSG00000015501	lincConv	ENSG00000287084	n.1.1	70202	ENSMUSG00000112238	1.1.1	75293	one_to_one
ENSG00000005243	lincConv	ENSMUSG00000018672	lincConv	ENSG00000289599	n.1.1	13920	ENSMUSG00000120942	1.1.1	14504	one_to_one
ENSG00000130348	lincConv	ENSMUSG00000019863	lincConv	ENSG00000235142	n.1.1	36911	ENSMUSG00000111342	n.1.1	40796	one_to_one
ENSG00000139289	lincConv	ENSMUSG00000020205	lincConv	ENSG00000257329	1.1.1	58385	ENSMUSG00000097082	1.1.1	78118	one_to_one
ENSG00000162981	lincConv	ENSMUSG00000020607	lincConv	ENSG00000287291	1.1.1	54854	ENSMUSG00000113522	1.1.1	88964	one_to_one
ENSG00000109063	lincConv	ENSMUSG00000020908	lincConv	ENSG00000214970	n.1.1	15955	ENSMUSG00000087410	n.1.1	10170	one_to_one
ENSG00000151332	lincConv	ENSMUSG00000021028	lincConv	ENSG00000258844	1.1.1	62956	ENSMUSG00000112164	1.1.1	61919	one_to_one
ENSG00000100749	lincConv	ENSMUSG00000021115	lincConv	ENSG00000288034	1.1.1	50746	ENSMUSG00000114149;ENSMUSG00000113390	1.1.1;1.1.1	54552;17397	one_to_many
ENSG00000112799	lincConv	ENSMUSG00000021423	lincConv	ENSG00000261211;ENSG00000226281	n.1.1;n.1.1	25326;37758	ENSMUSG00000114389;ENSMUSG00000100932;ENSMUSG00000099847;ENSMUSG00000114791	1.1.1;1.1.1;1.1.1;n.1.1	85170;30364;33176;20352	many_to_many
ENSG00000171421	lincConv	ENSMUSG00000021607	lincConv	ENSG00000260066	1.1.1	70213	ENSMUSG00000113346	n.1.1	12354	one_to_one
ENSG00000132842	lincConv	ENSMUSG00000021686	lincConv	ENSG00000287162	1.1.1	41428	ENSMUSG00000113598	1.1.1	79582	one_to_one
ENSG00000126777	lincConv	ENSMUSG00000021843	lincConv	ENSG00000258791	n.1.1	79606	ENSMUSG00000115719;ENSMUSG00000115215;ENSMUSG00000115046	n.1.1;n.1.1;1.1.1	15198;51074;60846	one_to_many
ENSG00000165588	lincConv	ENSMUSG00000021848	lincConv	ENSG00000258703	1.1.1	34148	ENSMUSG00000115376;ENSMUSG00000115636;ENSMUSG00000115669	n.1.1;1.1.1;1.1.1	15675;61275;7903	one_to_many
ENSG00000100867	lincConv	ENSMUSG00000022209	lincConv	ENSG00000258464	n.1.1	54158	ENSMUSG00000114987	1.1.1	35399	one_to_one
ENSG00000154719	lincConv	ENSMUSG00000022889	lincConv	ENSG00000234883	n.1.1	10488	ENSMUSG00000116674	1.1.1	21870	one_to_one
ENSG00000157557	lincConv	ENSMUSG00000022895	lincConv	ENSG00000205622	n.n.1	0	ENSMUSG00000085329	1.1.1	85134	one_to_one
ENSG00000159212	lincConv	ENSMUSG00000022949	lincConv	ENSG00000230978	n.1.1	5580	ENSMUSG00000116709	1.1.1	7870	one_to_one
ENSG00000178772	lincConv	ENSMUSG00000023176	lincConv	ENSG00000238097;ENSG00000286317;ENSG00000228271	n.1.1;1.1.1;n.1.1	79048;37720;52400	ENSMUSG00000101888	1.1.1	56079	many_to_one
ENSG00000112715	lincConv	ENSMUSG00000023951	lincConv	ENSG00000283215;ENSG00000223469	n.1.1;1.1.1	58391;65270	ENSMUSG00000117040	1.1.1	53144	many_to_one
ENSG00000142178	lincConv	ENSMUSG00000024042	lincConv	ENSG00000225637	1.1.1	47917	ENSMUSG00000117355	n.1.1	50940	one_to_one
ENSG00000107372	lincConv	ENSMUSG00000024750	lincConv	ENSG00000225434	n.n.1	0	ENSMUSG00000118342	1.1.1	23536	one_to_one
ENSG00000030419	lincConv	ENSMUSG00000025997	lincConv	ENSG00000223373	1.1.1	79882	ENSMUSG00000099804	1.1.1	87130	one_to_one
ENSG00000115539	lincConv	ENSMUSG00000026078	lincConv	ENSG00000287832;ENSG00000234169	1.1.1;1.1.1	65705;93153	ENSMUSG00000104188	1.1.1	51410	many_to_one
ENSG00000119900	lincConv	ENSMUSG00000026158	lincConv	ENSG00000233237	n.1.1	34368	ENSMUSG00000097970;ENSMUSG00000100775	1.1.1;1.1.1	74489;72349	one_to_many
ENSG00000130414	lincConv	ENSMUSG00000026260	lincConv	ENSG00000220256	n.1.1	67686	ENSMUSG00000120000	n.1.1	45377	one_to_one
ENSG00000081237	lincConv	ENSMUSG00000026395	lincConv	ENSG00000229989	n.1.1	20385	ENSMUSG00000098206;ENSMUSG00000098243	1.1.1;n.1.1	92943;53083	one_to_many
ENSG00000065675	lincConv	ENSMUSG00000026778	lincConv	ENSG00000212743	1.1.1	74381	ENSMUSG00000102196;ENSMUSG00000102674;ENSMUSG00000120676	1.1.1;1.1.1;n.1.1	14150;37144;24218	one_to_many
ENSG00000130558	lincConv	ENSMUSG00000026833	lincConv	ENSG00000227958	1.1.1	83542	ENSMUSG00000087196	n.1.1	84271	one_to_one
ENSG00000125772	lincConv	ENSMUSG00000027346	lincConv	ENSG00000235820;ENSG00000230563	1.1.1;n.1.1	8550;68956	ENSMUSG00000086379	n.1.1	15180	many_to_one
ENSG00000124205	lincConv	ENSMUSG00000027524	lincConv	ENSG00000230352;ENSG00000225129;ENSG00000286309	1.1.1;1.1.1;1.1.1	34935;26203;69504	ENSMUSG00000084795;ENSMUSG00000087215	n.1.1;1.1.1	51922;58263	many_to_many
ENSG00000085276	lincConv	ENSMUSG00000027684	lincConv	ENSG00000241383	n.1.1	45083	ENSMUSG00000102590	n.1.1	27097	one_to_one
ENSG00000138678	lincConv	ENSMUSG00000029314	lincConv	ENSG00000249171	1.1.1	62635	ENSMUSG00000106255	1.1.1	10899	one_to_one
ENSG00000138772	lincConv	ENSMUSG00000029484	lincConv	ENSG00000287632	1.1.1	59239	ENSMUSG00000105283	n.1.1	63740	one_to_one
ENSG00000134109	lincConv	ENSMUSG00000030104	lincConv	ENSG00000230944	1.1.1	35577	ENSMUSG00000120743	n.1.1	59466	one_to_one
ENSG00000153885	lincConv	ENSMUSG00000030499	lincConv	ENSG00000289539	1.1.1	89331	ENSMUSG00000086631	n.1.1	57323	one_to_one
ENSG00000091664	lincConv	ENSMUSG00000030500	lincConv	ENSG00000255323	n.1.1	66170	ENSMUSG00000102124	1.1.1	79677	one_to_one
ENSG00000196338	lincConv	ENSMUSG00000031302	lincConv	ENSG00000228427	n.1.1	8127	ENSMUSG00000120504	1.1.1	6162	one_to_one
ENSG00000187498	lincConv	ENSMUSG00000031502	lincConv	ENSG00000231428	1.1.1	94011	ENSMUSG00000109151	1.1.1	81050	one_to_one
ENSG00000104671	lincConv	ENSMUSG00000031516	lincConv	ENSG00000287590	1.1.1	95910	ENSMUSG00000054618	n.1.1	33374	one_to_one
ENSG00000234828	lincConv	ENSMUSG00000031620	lincConv	ENSG00000248210	n.1.1	73586	ENSMUSG00000110485	1.1.1	8006	one_to_one
ENSG00000260456	lincConv	ENSMUSG00000031809	lincConv	ENSG00000232190;ENSG00000261363	n.1.1;1.1.1	13457;13810	ENSMUSG00000097438	1.1.1	95391	many_to_one
ENSG00000165526	lincConv	ENSMUSG00000032044	lincConv	ENSG00000254833	1.1.1	26061	ENSMUSG00000111059	1.1.1	23991	one_to_one
ENSG00000135338	lincConv	ENSMUSG00000032258	lincConv	ENSG00000231533	n.n.1	0	ENSMUSG00000111443	1.1.1	36315	one_to_one
ENSG00000073756	lincConv	ENSMUSG00000032487	lincConv	ENSG00000288562	1.1.1	45172	ENSMUSG00000097754	n.1.1	50816	one_to_one
ENSG00000011198	lincConv	ENSMUSG00000032540	lincConv	ENSG00000235886	1.1.1	44590	ENSMUSG00000111146	n.1.1	54294	one_to_one
ENSG00000140563	lincConv	ENSMUSG00000032776	lincConv	ENSG00000285866	1.1.1	99554	ENSMUSG00000108800	1.1.1	50513	one_to_one
