lncRNAid_Mus_musculus	isTable_1_Homo_sapiens	orthology_type_synteny_Homo_sapiens	lncRNA_synteny_id_Homo_sapiens	isTable_2_Homo_sapiens	orthology_type_configuration_Homo_sapiens	configuration_type_configuration_Homo_sapiens	lncRNA_configuration_id_Homo_sapiens	isTable_3_Homo_sapiens
ENSMUSG00000101253	1	one_to_one	ENSG00000260578	0	NA	NA	NA	0
ENSMUSG00000120092	1	one_to_many	ENSG00000265451;ENSG00000236859	1	many_to_one	lncgDivg	ENSG00000265451	0
ENSMUSG00000103435	1	one_to_many	ENSG00000227230;ENSG00000232085	1	one_to_many	lncgDivg	ENSG00000227230;ENSG00000232085	1
ENSMUSG00000100357	1	one_to_one	ENSG00000260976	1	one_to_one	lincDivg	ENSG00000260976	0
