lncRNA.Homo_sapiens	lncRNA.Canis_lupus_familiaris	orthology_type.Homo_sapiens.Canis_lupus_familiaris	lncRNA.Mus_musculus	orthology_type.Homo_sapiens.Mus_musculus	nbTotalIndication	profilIndication
ENSG00000083622	NA	NA	ENSMUSG00000087389	many_to_one	1	many_to_one:1
ENSG00000103472	NA	NA	ENSMUSG00000108417	one_to_one	1	one_to_one:1
ENSG00000125462	NA	NA	ENSMUSG00000097428	one_to_one	1	one_to_one:1
ENSG00000125514	NA	NA	ENSMUSG00000074507	many_to_one	1	many_to_one:1
ENSG00000157306	NA	NA	ENSMUSG00000100162	one_to_one	1	one_to_one:1
ENSG00000162913	NA	NA	ENSMUSG00000072902	many_to_one	1	many_to_one:1
ENSG00000163081	NA	NA	ENSMUSG00000120041	one_to_one	1	one_to_one:1
ENSG00000167046	NA	NA	ENSMUSG00000121267	many_to_one	1	many_to_one:1
ENSG00000167912	NA	NA	ENSMUSG00000086052	one_to_one	1	one_to_one:1
ENSG00000167920	NA	NA	ENSMUSG00000087692	one_to_one	1	one_to_one:1
ENSG00000171671	NA	NA	ENSMUSG00000085745	many_to_one	1	many_to_one:1
ENSG00000174370	NA	NA	ENSMUSG00000111056	one_to_one	1	one_to_one:1
ENSG00000174403	ENSCAFG00845017300;ENSCAFG00845017290	many_to_many_strict	ENSMUSG00000084843	many_to_one	2	many_to_many_strict:1;many_to_one:1
ENSG00000174407	ENSCAFG00845017394;ENSCAFG00845017436;ENSCAFG00845017477	many_to_many	NA	NA	1	many_to_many:1
ENSG00000175061	NA	NA	ENSMUSG00000086841	one_to_one	1	one_to_one:1
ENSG00000175604	NA	NA	ENSMUSG00000085732	many_to_one	1	many_to_one:1
ENSG00000175773	NA	NA	ENSMUSG00000120331	one_to_one	1	one_to_one:1
ENSG00000176349	NA	NA	ENSMUSG00000087248;ENSMUSG00000085673;ENSMUSG00000087606	one_to_many	1	one_to_many:1
