lncRNAid_Mus_musculus	isTable_1_Canis_lupus_familiaris	orthology_type_synteny_Canis_lupus_familiaris	lncRNA_synteny_id_Canis_lupus_familiaris	isTable_2_Canis_lupus_familiaris	orthology_type_configuration_Canis_lupus_familiaris	configuration_type_configuration_Canis_lupus_familiaris	lncRNA_configuration_id_Canis_lupus_familiaris	isTable_3_Canis_lupus_familiaris
ENSMUSG00000100827	1	many_to_one	ENSCAFG00845030631	0	NA	NA	NA	0
ENSMUSG00000100553	1	many_to_one	ENSCAFG00845030631	0	NA	NA	NA	0
ENSMUSG00000100685	1	one_to_many	ENSCAFG00845004818;ENSCAFG00845004823;ENSCAFG00845004825;ENSCAFG00845004829	0	NA	NA	NA	1
ENSMUSG00000087199	1	one_to_one	ENSCAFG00845020529	1	one_to_one	lncgDivg	ENSCAFG00845020529	1
ENSMUSG00000100945	1	many_to_one	ENSCAFG00845004244	0	NA	NA	NA	1
ENSMUSG00000100334	1	many_to_one	ENSCAFG00845004244	0	NA	NA	NA	1
ENSMUSG00000099933	1	one_to_one	ENSCAFG00845003982	0	NA	NA	NA	0
ENSMUSG00000103670	1	many_to_one	ENSCAFG00845002528	1	many_to_one	lncgDivg	ENSCAFG00845002528	0
ENSMUSG00000120842	1	many_to_one	ENSCAFG00845002528	1	many_to_one	lncgDivg	ENSCAFG00845002528	0
ENSMUSG00000098447	1	one_to_one	ENSCAFG00845027194	1	one_to_one	lncgDivg	ENSCAFG00845027194	1
ENSMUSG00000054135	1	many_to_one	ENSCAFG00845012343	1	one_to_one	lincDivg	ENSCAFG00845012343	1
ENSMUSG00000120002	1	many_to_one	ENSCAFG00845012343	0	NA	NA	NA	1
ENSMUSG00000121026	1	many_to_many_DifferentNumber	ENSCAFG00845012308;ENSCAFG00845012320;ENSCAFG00845012331	1	many_to_many_strict	lincSS.up	ENSCAFG00845012320;ENSCAFG00845012331	1
ENSMUSG00000120933	1	many_to_many_DifferentNumber	ENSCAFG00845012308;ENSCAFG00845012320;ENSCAFG00845012331	1	many_to_many_strict	lincSS.up	ENSCAFG00845012320;ENSCAFG00845012331	1
ENSMUSG00000100110	1	one_to_one	ENSCAFG00845028942	0	NA	NA	NA	1
ENSMUSG00000089914	1	many_to_one	ENSCAFG00845008716	0	NA	NA	NA	1
ENSMUSG00000099906	1	many_to_one	ENSCAFG00845008716	1	one_to_one	lincSS.up	ENSCAFG00845008716	1
ENSMUSG00000099945	1	many_to_one	ENSCAFG00845027949	0	NA	NA	NA	0
ENSMUSG00000087022	1	many_to_one	ENSCAFG00845027949	0	NA	NA	NA	0
ENSMUSG00000101429	1	many_to_many_DifferentNumber	ENSCAFG00845027922;ENSCAFG00845027930	0	NA	NA	NA	0
ENSMUSG00000120334	1	many_to_many_DifferentNumber	ENSCAFG00845027922;ENSCAFG00845027930	1	one_to_many	lncgSS.up	ENSCAFG00845027930;ENSCAFG00845027922	0
ENSMUSG00000097519	1	many_to_many_DifferentNumber	ENSCAFG00845027922;ENSCAFG00845027930	0	NA	NA	NA	0
ENSMUSG00000103449	1	many_to_one	ENSCAFG00845028299	0	NA	NA	NA	0
ENSMUSG00000119954	1	many_to_one	ENSCAFG00845028299	0	NA	NA	NA	0
ENSMUSG00000103690	1	one_to_many	ENSCAFG00845028234;ENSCAFG00845028245;ENSCAFG00845028269	1	one_to_many	lincSS.dw	ENSCAFG00845028269;ENSCAFG00845028245	0
ENSMUSG00000104245	1	one_to_many	ENSCAFG00845027683;ENSCAFG00845027688;ENSCAFG00845027692	0	NA	NA	NA	1
ENSMUSG00000099404	1	many_to_many_DifferentNumber	ENSCAFG00845001521;ENSCAFG00845001573;ENSCAFG00845001588	1	many_to_one	lncgDivg	ENSCAFG00845001588	1
ENSMUSG00000103644	1	many_to_many_DifferentNumber	ENSCAFG00845001521;ENSCAFG00845001573;ENSCAFG00845001588	0	NA	NA	NA	1
ENSMUSG00000103963	1	many_to_many_DifferentNumber	ENSCAFG00845001521;ENSCAFG00845001573;ENSCAFG00845001588	0	NA	NA	NA	1
ENSMUSG00000079045	1	many_to_many_DifferentNumber	ENSCAFG00845001521;ENSCAFG00845001573;ENSCAFG00845001588	1	many_to_one	lncgDivg	ENSCAFG00845001588	1
ENSMUSG00000119953	1	many_to_many_DifferentNumber	ENSCAFG00845001521;ENSCAFG00845001573;ENSCAFG00845001588	1	many_to_one	lncgDivg	ENSCAFG00845001588	1
ENSMUSG00000103510	1	many_to_many_DifferentNumber	ENSCAFG00845001501;ENSCAFG00845001532;ENSCAFG00845001535;ENSCAFG00845001540;ENSCAFG00845001544;ENSCAFG00845001552;ENSCAFG00845001556;ENSCAFG00845001563;ENSCAFG00845001598	0	NA	NA	NA	1
ENSMUSG00000120782	1	many_to_many_DifferentNumber	ENSCAFG00845001501;ENSCAFG00845001532;ENSCAFG00845001535;ENSCAFG00845001540;ENSCAFG00845001544;ENSCAFG00845001552;ENSCAFG00845001556;ENSCAFG00845001563;ENSCAFG00845001598	0	NA	NA	NA	1
ENSMUSG00000097316	1	one_to_one	ENSCAFG00845003236	0	NA	NA	NA	1
ENSMUSG00000097325	1	many_to_one	ENSCAFG00845002478	1	one_to_one	lncgConv	ENSCAFG00845002478	0
ENSMUSG00000104206	1	many_to_one	ENSCAFG00845002478	0	NA	NA	NA	0
ENSMUSG00000104077	1	many_to_one	ENSCAFG00845002478	0	NA	NA	NA	0
ENSMUSG00000100811	1	many_to_one	ENSCAFG00845020314	0	NA	NA	NA	0
ENSMUSG00000100426	1	many_to_one	ENSCAFG00845020314	0	NA	NA	NA	0
ENSMUSG00000101705	1	one_to_many	ENSCAFG00845030232;ENSCAFG00845030241;ENSCAFG00845030248;ENSCAFG00845030256	1	one_to_many	lincSS.dw	ENSCAFG00845030248;ENSCAFG00845030241	0
ENSMUSG00000100980	1	one_to_many	ENSCAFG00845030229;ENSCAFG00845030252	0	NA	NA	NA	0
ENSMUSG00000101895	1	one_to_many	ENSCAFG00845021946;ENSCAFG00845021969	0	NA	NA	NA	0
ENSMUSG00000103603	1	one_to_one	ENSCAFG00845020262	0	NA	NA	NA	1
ENSMUSG00000120395	1	one_to_one	ENSCAFG00845003567	0	NA	NA	NA	1
ENSMUSG00000100620	1	one_to_one	ENSCAFG00845017062	0	NA	NA	NA	1
ENSMUSG00000085391	1	many_to_one	ENSCAFG00845016619	0	NA	NA	NA	1
ENSMUSG00000085280	1	many_to_one	ENSCAFG00845016619	0	NA	NA	NA	1
ENSMUSG00000087131	1	many_to_one	ENSCAFG00845016619	0	NA	NA	NA	1
ENSMUSG00000087514	1	many_to_one	ENSCAFG00845019690	0	NA	NA	NA	0
ENSMUSG00000100354	1	many_to_one	ENSCAFG00845019690	1	one_to_one	lincSS.dw	ENSCAFG00845019690	0
ENSMUSG00000100815	1	many_to_one	ENSCAFG00845020033	0	NA	NA	NA	0
ENSMUSG00000099954	1	many_to_one	ENSCAFG00845020033	0	NA	NA	NA	0
ENSMUSG00000097448	1	many_to_many_sameNumber	ENSCAFG00845022586;ENSCAFG00845022598	0	NA	NA	NA	1
ENSMUSG00000097113	1	many_to_many_sameNumber	ENSCAFG00845022586;ENSCAFG00845022598	0	NA	NA	NA	1
ENSMUSG00000054006	1	one_to_one	ENSCAFG00845002705	0	NA	NA	NA	1
ENSMUSG00000097063	1	one_to_many	ENSCAFG00845009917;ENSCAFG00845009940	1	one_to_one	lncgConv	ENSCAFG00845009940	0
ENSMUSG00000101112	1	many_to_one	ENSCAFG00845025062	0	NA	NA	NA	0
ENSMUSG00000101812	1	many_to_one	ENSCAFG00845025062	0	NA	NA	NA	0
ENSMUSG00000100429	1	many_to_one	ENSCAFG00845025062	0	NA	NA	NA	0
ENSMUSG00000103079	1	one_to_one	ENSCAFG00845004340	0	NA	NA	NA	1
ENSMUSG00000089812	1	one_to_many	ENSCAFG00845003043;ENSCAFG00845003055	0	NA	NA	NA	0
ENSMUSG00000120654	1	one_to_one	ENSCAFG00845005479	0	NA	NA	NA	1
ENSMUSG00000102923	1	one_to_many	ENSCAFG00845008147;ENSCAFG00845008167	0	NA	NA	NA	0
ENSMUSG00000099843	1	one_to_one	ENSCAFG00845000025	0	NA	NA	NA	1
ENSMUSG00000121280	1	one_to_one	ENSCAFG00845017058	0	NA	NA	NA	1
ENSMUSG00000100791	1	one_to_one	ENSCAFG00845028858	0	NA	NA	NA	0
ENSMUSG00000087681	1	many_to_one	ENSCAFG00845030193	1	one_to_one	lincSS.up	ENSCAFG00845030193	0
ENSMUSG00000087422	1	many_to_one	ENSCAFG00845030193	0	NA	NA	NA	0
ENSMUSG00000068062	1	one_to_one	ENSCAFG00845016856	0	NA	NA	NA	0
ENSMUSG00000104284	1	many_to_many_DifferentNumber	ENSCAFG00845016216;ENSCAFG00845016228	1	many_to_many	lncgSS.dw	ENSCAFG00845016228;ENSCAFG00845016216	1
ENSMUSG00000102517	1	many_to_many_DifferentNumber	ENSCAFG00845016216;ENSCAFG00845016228	1	many_to_many	lncgSS.dw	ENSCAFG00845016228;ENSCAFG00845016216	1
ENSMUSG00000086921	1	many_to_many_DifferentNumber	ENSCAFG00845016216;ENSCAFG00845016228	1	many_to_many	lncgSS.dw	ENSCAFG00845016228;ENSCAFG00845016216	1
ENSMUSG00000102816	1	many_to_many_DifferentNumber	ENSCAFG00845016216;ENSCAFG00845016228	1	many_to_many	lncgSS.dw	ENSCAFG00845016228;ENSCAFG00845016216	1
ENSMUSG00000102136	1	many_to_many_DifferentNumber	ENSCAFG00845016216;ENSCAFG00845016228	1	many_to_many	lncgSS.dw	ENSCAFG00845016228;ENSCAFG00845016216	1
ENSMUSG00000102357	1	many_to_many_DifferentNumber	ENSCAFG00845016216;ENSCAFG00845016228	1	many_to_many	lncgSS.dw	ENSCAFG00845016228;ENSCAFG00845016216	1
ENSMUSG00000102494	1	many_to_many_DifferentNumber	ENSCAFG00845016216;ENSCAFG00845016228	1	many_to_many	lncgSS.dw	ENSCAFG00845016228;ENSCAFG00845016216	1
ENSMUSG00000086994	1	one_to_one	ENSCAFG00845017931	0	NA	NA	NA	1
