PCG.Canis_lupus_familiaris	conf.Canis_lupus_familiaris	PCG.Homo_sapiens	conf.Homo_sapiens	lncRNA.Canis_lupus_familiaris	class.Canis_lupus_familiaris	distance.Canis_lupus_familiaris	lncRNA.Homo_sapiens	class.Homo_sapiens	distance.Homo_sapiens	orthology_type.Canis_lupus_familiaris-Homo_sapiens
ENSCAFG00845020085	lincConv	ENSG00000011198	lincConv	ENSCAFG00845020052	1.1.1	55277	ENSG00000235886	1.1.1	44590	one_to_one
ENSCAFG00845030187	lincConv	ENSG00000065802	lincConv	ENSCAFG00845030252	1.1.1	97404	ENSG00000225493	1.1.1	58440	one_to_one
ENSCAFG00845003083	lincConv	ENSG00000067082	lincConv	ENSCAFG00845003150	1.1.1	30866	ENSG00000229672;ENSG00000228353	n.1.1;1.1.1	12284;7245	one_to_many
ENSCAFG00845024331	lincConv	ENSG00000072657	lincConv	ENSCAFG00845024674	1.1.1	5231	ENSG00000258235	1.1.1	57165	one_to_one
ENSCAFG00845017289	lincConv	ENSG00000081189	lincConv	ENSCAFG00845017881;ENSCAFG00845018016	1.1.1;1.1.1	23726;56847	ENSG00000250555;ENSG00000245864;ENSG00000289008	1.1.1;n.n.1;1.1.1	24258;0;30958	many_to_many
ENSCAFG00845023211	lincConv	ENSG00000081237	lincConv	ENSCAFG00845022979	1.1.1	17992	ENSG00000229989	n.1.1	20385	one_to_one
ENSCAFG00845014958	lincConv	ENSG00000083642	lincConv	ENSCAFG00845014882	1.1.1	7248	ENSG00000226968	1.1.1	99412	one_to_one
ENSCAFG00845017702	lincConv	ENSG00000101188	lincConv	ENSCAFG00845017730	1.1.1	7067	ENSG00000228705	n.1.1	10209	one_to_one
ENSCAFG00845022093	lincConv	ENSG00000102781	lincConv	ENSCAFG00845022177	1.1.1	7152	ENSG00000232643	1.1.1	42038	one_to_one
ENSCAFG00845023240	lincConv	ENSG00000110435	lincConv	ENSCAFG00845023213	1.1.1	6169	ENSG00000289526	n.n.1	0	one_to_one
ENSCAFG00845002583	lincConv	ENSG00000112530	lincConv	ENSCAFG00845002599	1.1.1	20502	ENSG00000285726;ENSG00000285564	1.1.1;n.1.1	32519;22863	one_to_many
ENSCAFG00845001915	lincConv	ENSG00000116685	lincConv	ENSCAFG00845001956	1.1.1	14832	ENSG00000285646	n.1.1	10261	one_to_one
ENSCAFG00845016789	lincConv	ENSG00000122482	lincConv	ENSCAFG00845016905;ENSCAFG00845016895	1.1.1;1.1.1	41084;14488	ENSG00000285532;ENSG00000225446	n.1.1;n.1.1	65826;60045	many_to_many_strict
ENSCAFG00845005970	lincConv	ENSG00000125629	lincConv	ENSCAFG00845005912	n.1.1	17852	ENSG00000226856	n.1.1	21131	one_to_one
ENSCAFG00845027927	lincConv	ENSG00000125772	lincConv	ENSCAFG00845028099	1.1.1	42257	ENSG00000235820;ENSG00000230563	1.1.1;n.1.1	8550;68956	one_to_many
ENSCAFG00845023173	lincConv	ENSG00000134531	lincConv	ENSCAFG00845023152	1.1.1	22433	ENSG00000286869	1.1.1	18641	one_to_one
ENSCAFG00845005752	lincConv	ENSG00000139289	lincConv	ENSCAFG00845005712;ENSCAFG00845027451	1.1.1;1.1.1	12102;54184	ENSG00000257329	1.1.1	58385	many_to_one
ENSCAFG00845002272	lincConv	ENSG00000141433	lincConv	ENSCAFG00845002299	1.1.1	74576	ENSG00000272461;ENSG00000259837	1.1.1;1.1.1	50420;13911	one_to_many
ENSCAFG00845018942	lincConv	ENSG00000149212	lincConv	ENSCAFG00845019122	n.1.1	16263	ENSG00000245552	n.n.1	0	one_to_one
ENSCAFG00845017140	lincConv	ENSG00000151353	lincConv	ENSCAFG00845017035	1.1.1	13120	ENSG00000233633	n.1.1	85732	one_to_one
ENSCAFG00845011856	lincConv	ENSG00000151413	lincConv	ENSCAFG00845011966;ENSCAFG00845011999	1.1.1;1.1.1	8324;45586	ENSG00000257472	1.1.1	64577	many_to_one
