lncRNA.Mus_musculus	PCG_left.Mus_musculus	PCG_right.Mus_musculus	lncRNA_strand.Mus_musculus	PCG_left_strand.Mus_musculus	PCG_right_strand.Mus_musculus	lncRNA_PCG_left_distance.Mus_musculus	lncRNA_PCG_right_distance.Mus_musculus
ENSMUSG00000086053	ENSMUSG00000026207	ENSMUSG00000033021	-	+	+	16834	43799
ENSMUSG00000100764	ENSMUSG00000026051	ENSMUSG00000057363	-	+	-	11359	5005
ENSMUSG00000100635	ENSMUSG00000026051	ENSMUSG00000057363	+	+	-	12313	4051
ENSMUSG00000100480	ENSMUSG00000026051	ENSMUSG00000057363	-	+	-	15182	1182
