lncRNAid_Homo_sapiens	isTable_1_Mus_musculus	orthology_type_synteny_Mus_musculus	lncRNA_synteny_id_Mus_musculus	isTable_2_Mus_musculus	orthology_type_configuration_Mus_musculus	configuration_type_configuration_Mus_musculus	lncRNA_configuration_id_Mus_musculus	isTable_3_Mus_musculus
ENSG00000260972	1	many_to_one	ENSMUSG00000085648	0	NA	NA	NA	0
ENSG00000284674	1	many_to_one	ENSMUSG00000085648	0	NA	NA	NA	0
ENSG00000284616	1	many_to_many_DifferentNumber	ENSMUSG00000073699;ENSMUSG00000087454	0	NA	NA	NA	0
ENSG00000231510	1	many_to_many_DifferentNumber	ENSMUSG00000073699;ENSMUSG00000087454	0	NA	NA	NA	0
ENSG00000284739	1	many_to_many_DifferentNumber	ENSMUSG00000073699;ENSMUSG00000087454	0	NA	NA	NA	0
ENSG00000287586	1	many_to_many_DifferentNumber	ENSMUSG00000073699;ENSMUSG00000087454	0	NA	NA	NA	0
ENSG00000284692	1	many_to_many_DifferentNumber	ENSMUSG00000073699;ENSMUSG00000087454	0	NA	NA	NA	0
ENSG00000284666	1	many_to_many_DifferentNumber	ENSMUSG00000073699;ENSMUSG00000087454	0	NA	NA	NA	0
ENSG00000236948	1	many_to_many_DifferentNumber	ENSMUSG00000073699;ENSMUSG00000087454	0	NA	NA	NA	0
ENSG00000289893	1	many_to_many_DifferentNumber	ENSMUSG00000073699;ENSMUSG00000087454	0	NA	NA	NA	0
ENSG00000232596	1	many_to_many_DifferentNumber	ENSMUSG00000086272;ENSMUSG00000121000	0	NA	NA	NA	0
ENSG00000235054	1	many_to_many_DifferentNumber	ENSMUSG00000086272;ENSMUSG00000121000	0	NA	NA	NA	0
ENSG00000284668	1	many_to_many_DifferentNumber	ENSMUSG00000086272;ENSMUSG00000121000	1	many_to_one	lincDivg	ENSMUSG00000086272	0
ENSG00000233304	1	many_to_many_DifferentNumber	ENSMUSG00000086272;ENSMUSG00000121000	1	many_to_one	lincDivg	ENSMUSG00000086272	0
ENSG00000236423	1	many_to_many_DifferentNumber	ENSMUSG00000086272;ENSMUSG00000121000	0	NA	NA	NA	0
ENSG00000226374	1	many_to_one	ENSMUSG00000085390	1	one_to_one	lincSS.up	ENSMUSG00000085390	0
ENSG00000284694	1	many_to_one	ENSMUSG00000085390	0	NA	NA	NA	0
ENSG00000284703	1	many_to_one	ENSMUSG00000085390	0	NA	NA	NA	0
ENSG00000227169	1	many_to_one	ENSMUSG00000085390	0	NA	NA	NA	0
ENSG00000238290	1	many_to_many_DifferentNumber	ENSMUSG00000085869;ENSMUSG00000078492	1	one_to_one	lncgDivg	ENSMUSG00000078492	1
ENSG00000288816	1	many_to_many_DifferentNumber	ENSMUSG00000085869;ENSMUSG00000078492	0	NA	NA	NA	1
ENSG00000227634	1	many_to_many_DifferentNumber	ENSMUSG00000085869;ENSMUSG00000078492	0	NA	NA	NA	1
ENSG00000233645	1	one_to_one	ENSMUSG00000085097	0	NA	NA	NA	0
ENSG00000224621	1	many_to_one	ENSMUSG00000085774	0	NA	NA	NA	1
ENSG00000234166	1	many_to_one	ENSMUSG00000085774	0	NA	NA	NA	1
ENSG00000227959	1	many_to_one	ENSMUSG00000085774	0	NA	NA	NA	1
ENSG00000231953	1	many_to_one	ENSMUSG00000086884	0	NA	NA	NA	0
ENSG00000229162	1	many_to_one	ENSMUSG00000086884	1	one_to_many	lncgDivg	ENSMUSG00000084986;ENSMUSG00000086884	0
ENSG00000285823	1	many_to_one	ENSMUSG00000086884	0	NA	NA	NA	0
ENSG00000271742	1	one_to_one	ENSMUSG00000120187	1	one_to_one	lncgDivg	ENSMUSG00000120187	0
ENSG00000235263	1	many_to_many_DifferentNumber	ENSMUSG00000085403;ENSMUSG00000085368	0	NA	NA	NA	0
ENSG00000284652	1	many_to_many_DifferentNumber	ENSMUSG00000085403;ENSMUSG00000085368	0	NA	NA	NA	0
ENSG00000284693	1	many_to_many_DifferentNumber	ENSMUSG00000085403;ENSMUSG00000085368	0	NA	NA	NA	0
ENSG00000271398	1	one_to_one	ENSMUSG00000086997	0	NA	NA	NA	1
ENSG00000237058	1	one_to_one	ENSMUSG00000087437	0	NA	NA	NA	0
ENSG00000235143	1	many_to_many_sameNumber	ENSMUSG00000087451;ENSMUSG00000097224	0	NA	NA	NA	1
ENSG00000223382	1	many_to_many_sameNumber	ENSMUSG00000087451;ENSMUSG00000097224	0	NA	NA	NA	1
ENSG00000234593	1	many_to_one	ENSMUSG00000073728	1	many_to_one	lncgDivg	ENSMUSG00000087525	1
ENSG00000175147	1	many_to_one	ENSMUSG00000073728	0	NA	NA	NA	1
ENSG00000231606	1	many_to_one	ENSMUSG00000073728	1	many_to_one	lncgDivg	ENSMUSG00000087525	1
ENSG00000287756	1	many_to_one	ENSMUSG00000073728	1	many_to_one	lncgDivg	ENSMUSG00000087525	1
ENSG00000204464	1	one_to_many	ENSMUSG00000085424;ENSMUSG00000085761	1	one_to_one	lncgDivg	ENSMUSG00000073728	1
ENSG00000233621	1	many_to_many_sameNumber	ENSMUSG00000087010;ENSMUSG00000120223	0	NA	NA	NA	1
ENSG00000223944	1	many_to_many_sameNumber	ENSMUSG00000087010;ENSMUSG00000120223	0	NA	NA	NA	1
ENSG00000224592	1	many_to_many_DifferentNumber	ENSMUSG00000086087;ENSMUSG00000086955;ENSMUSG00000086978;ENSMUSG00000098760;ENSMUSG00000084757	1	one_to_one	lncgDivg	ENSMUSG00000098760	0
ENSG00000238063	1	many_to_many_DifferentNumber	ENSMUSG00000086087;ENSMUSG00000086955;ENSMUSG00000086978;ENSMUSG00000098760;ENSMUSG00000084757	0	NA	NA	NA	0
ENSG00000286552	1	many_to_many_DifferentNumber	ENSMUSG00000086087;ENSMUSG00000086955;ENSMUSG00000086978;ENSMUSG00000098760;ENSMUSG00000084757	0	NA	NA	NA	0
ENSG00000287987	1	many_to_many_DifferentNumber	ENSMUSG00000086087;ENSMUSG00000086955;ENSMUSG00000086978;ENSMUSG00000098760;ENSMUSG00000084757	0	NA	NA	NA	0
ENSG00000284632	1	many_to_one	ENSMUSG00000073759	0	NA	NA	NA	0
ENSG00000237290	1	many_to_one	ENSMUSG00000073759	0	NA	NA	NA	0
ENSG00000284623	1	many_to_one	ENSMUSG00000073759	1	one_to_one	lincSS.up	ENSMUSG00000073759	0
ENSG00000284705	1	many_to_one	ENSMUSG00000085562	0	NA	NA	NA	1
ENSG00000234481	1	many_to_one	ENSMUSG00000085562	0	NA	NA	NA	1
ENSG00000284720	1	one_to_one	ENSMUSG00000120235	0	NA	NA	NA	1
ENSG00000232762	1	many_to_one	ENSMUSG00000087200	1	many_to_many	lncgDivg	ENSMUSG00000028612;ENSMUSG00000087200;ENSMUSG00000073779	0
ENSG00000225675	1	many_to_one	ENSMUSG00000087200	1	many_to_many	lncgDivg	ENSMUSG00000028612;ENSMUSG00000087200;ENSMUSG00000073779	0
ENSG00000285954	1	many_to_one	ENSMUSG00000087200	0	NA	NA	NA	0
ENSG00000234578	1	many_to_one	ENSMUSG00000087200	1	many_to_many	lncgDivg	ENSMUSG00000028612;ENSMUSG00000087200;ENSMUSG00000073779	1
