PCG.Mus_musculus	lncRNA.Mus_musculus	conf.Mus_musculus	class.Mus_musculus	distance.Mus_musculus	PCG.Homo_sapiens	lncRNA.Homo_sapiens	conf.Homo_sapiens	class.Homo_sapiens	distance.Homo_sapiens
ENSMUSG00000000078	ENSMUSG00000120440	lincDivg	1.1.1	15680	ENSG00000067082	ENSG00000287175	lincDivg	1.1.1	24554
ENSMUSG00000000078	ENSMUSG00000120440	lincDivg	1.1.1	15680	ENSG00000067082	ENSG00000230573	lincDivg	1.1.1	48669
ENSMUSG00000000078	ENSMUSG00000100625	lncgDivg	n.1.1	3390	ENSG00000067082	ENSG00000288755	lncgDivg	1.1.1	270
ENSMUSG00000000093	ENSMUSG00000069785	lncgConv	1.1.1	4842	ENSG00000121068	ENSG00000267280	lncgConv	n.n.n	0
ENSMUSG00000000120	ENSMUSG00000084856	lincDivg	1.1.1	34925	ENSG00000064300	ENSG00000249497	lincDivg	1.1.1	33544
ENSMUSG00000000184	ENSMUSG00000107013	lincSS.up	1.1.1	99445	ENSG00000118971	ENSG00000289105	lincSS.up	1.1.1	60948
ENSMUSG00000000184	ENSMUSG00000097166	lncgDivg	n.1.1	0	ENSG00000118971	ENSG00000290063	lncgDivg	1.1.1	0
ENSMUSG00000000184	ENSMUSG00000097166	lncgDivg	n.1.1	0	ENSG00000118971	ENSG00000255920	lncgDivg	n.n.n	0
ENSMUSG00000000194	ENSMUSG00000087269	lncgDivg	n.n.1	0	ENSG00000148358	ENSG00000289226	lncgDivg	1.1.1	0
ENSMUSG00000000194	ENSMUSG00000087430	lncgDivg	1.1.1	0	ENSG00000148358	ENSG00000289226	lncgDivg	1.1.1	0
ENSMUSG00000000247	ENSMUSG00000098383	lncgDivg	1.1.1	0	ENSG00000106689	ENSG00000236668	lncgDivg	1.1.1	0
ENSMUSG00000000247	ENSMUSG00000098383	lncgDivg	1.1.1	0	ENSG00000106689	ENSG00000234921	lncgDivg	1.1.1	0
ENSMUSG00000000247	ENSMUSG00000087539	lncgDivg	1.1.1	0	ENSG00000106689	ENSG00000236668	lncgDivg	1.1.1	0
ENSMUSG00000000247	ENSMUSG00000087539	lncgDivg	1.1.1	0	ENSG00000106689	ENSG00000234921	lncgDivg	1.1.1	0
ENSMUSG00000000441	ENSMUSG00000107994	lncgDivg	n.1.1	0	ENSG00000132155	ENSG00000290072	lncgDivg	1.1.1	109
ENSMUSG00000000489	ENSMUSG00000116125	lncgDivg	1.1.1	0	ENSG00000100311	ENSG00000284633	lncgDivg	n.n.1	0
ENSMUSG00000000538	ENSMUSG00000085132	lncgDivg	1.1.1	0	ENSG00000175662	ENSG00000197815	lncgDivg	1.1.1	0
ENSMUSG00000000561	ENSMUSG00000105852	lncgSS.dw	n.n.n	0	ENSG00000116455	ENSG00000243960	lncgSS.dw	n.1.1	0
