lncRNA	nbSpeciesMatch_tot	SpeciesMatch_tot	Mus_musculus_isMatching	Canis_lupus_familiaris_isMatching	nbSpeciesMatch_set
ENSG00000082929	40	Algerian mouse;Alpine marmot;Arabian camel;Beluga whale;Blue whale;Bonobo;Cat;Chacoan peccary;Chimpanzee;Chinese hamster CHOK1GS;Crab-eating macaque;Dingo;Dog;Domestic yak;Eurasian red squirrel;Gibbon;Goat;Gorilla;Greater horseshoe bat;Guinea Pig;Horse;Hybrid - Bos Indicus;Leopard;Lion;Macaque;Mouse;Narwhal;Northern American deer mouse;Olive baboon;Pig;Prairie vole;Rat;Ryukyu mouse;Shrew mouse;Sperm whale;Sumatran orangutan;Vaquita;Vervet-AGM;White-tufted-ear marmoset;Yarkand deer	1	1	2
ENSG00000093100	55	Algerian mouse;Alpine marmot;Argentine black and white tegu;Australian saltwater crocodile;Beluga whale;Blue whale;Bonobo;Cat;Chacoan peccary;Chicken;Chimpanzee;Chinese hamster CHOK1GS;Common canary;Common wall lizard;Crab-eating macaque;Dingo;Dog;Duck;Eastern brown snake;Elephant;Eurasian red squirrel;Gibbon;Goat;Golden eagle;Goodes thornscrub tortoise;Gorilla;Great Tit;Greater horseshoe bat;Green anole;Horse;Hybrid - Bos Indicus;Indian cobra;Japanese quail;Kakapo;Leopard;Lion;Macaque;Mouse;Mouse Lemur;Narwhal;Northern American deer mouse;Olive baboon;Pig;Rabbit;Rat;Ryukyu mouse;Shrew mouse;Sperm whale;Sumatran orangutan;Three-toed box turtle;Vaquita;Vervet-AGM;White-tufted-ear marmoset;Yarkand deer;Zebra finch	1	1	2
ENSG00000099869	39	Algerian mouse;Arabian camel;Beluga whale;Blue whale;Bonobo;Cat;Chacoan peccary;Chimpanzee;Chinese hamster CHOK1GS;Crab-eating macaque;Dingo;Dog;Elephant;Gibbon;Goat;Gorilla;Greater horseshoe bat;Guinea Pig;Horse;Hybrid - Bos Indicus;Leopard;Lion;Macaque;Mouse;Mouse Lemur;Narwhal;Northern American deer mouse;Olive baboon;Pig;Prairie vole;Rat;Ryukyu mouse;Shrew mouse;Sperm whale;Sumatran orangutan;Vaquita;Vervet-AGM;White-tufted-ear marmoset;Yarkand deer	1	1	2
ENSG00000105501	22	Algerian mouse;Alpine marmot;Bonobo;Chimpanzee;Chinese hamster CHOK1GS;Crab-eating macaque;Eurasian red squirrel;Gibbon;Gorilla;Leopard;Lion;Macaque;Mouse;Mouse Lemur;Northern American deer mouse;Olive baboon;Prairie vole;Rat;Ryukyu mouse;Shrew mouse;Sumatran orangutan;Vervet-AGM	1	0	1
