PCG.Homo_sapiens	lncRNA.Homo_sapiens	conf.Homo_sapiens	class.Homo_sapiens	distance.Homo_sapiens	PCG.Mus_musculus	lncRNA.Mus_musculus	conf.Mus_musculus	class.Mus_musculus	distance.Mus_musculus
ENSG00000001561	ENSG00000231769	lncgDivg	n.1.1	132	ENSMUSG00000023961	ENSMUSG00000120221	lncgDivg	n.1.1	143
ENSG00000001626	ENSG00000083622	lncgDivg	1.1.1	0	ENSMUSG00000041301	ENSMUSG00000087389	lncgDivg	1.1.1	0
ENSG00000001626	ENSG00000232661	lncgDivg	1.1.1	0	ENSMUSG00000041301	ENSMUSG00000087389	lncgDivg	1.1.1	0
ENSG00000001626	ENSG00000286390	lncgDivg	1.1.1	0	ENSMUSG00000041301	ENSMUSG00000087389	lncgDivg	1.1.1	0
