PCG.Canis_lupus_familiaris	lncRNA.Canis_lupus_familiaris	conf.Canis_lupus_familiaris	class.Canis_lupus_familiaris	distance.Canis_lupus_familiaris	PCG.Homo_sapiens	lncRNA.Homo_sapiens	conf.Homo_sapiens	class.Homo_sapiens	distance.Homo_sapiens
ENSCAFG00845000045	ENSCAFG00845000057	lincSS.up	1.1.1	37788	ENSG00000060069	ENSG00000267409	lincSS.up	1.1.1	67500
ENSCAFG00845000045	ENSCAFG00845000055	lncgDivg	1.1.1	631	ENSG00000060069	ENSG00000274828	lncgDivg	1.1.1	439
ENSCAFG00845000045	ENSCAFG00845000055	lncgDivg	1.1.1	631	ENSG00000060069	ENSG00000266901	lncgDivg	1.1.1	0
ENSCAFG00845000045	ENSCAFG00845000055	lncgDivg	1.1.1	631	ENSG00000060069	ENSG00000178412	lncgDivg	1.1.1	58
ENSCAFG00845000056	ENSCAFG00845000049	lncgDivg	1.1.1	3779	ENSG00000107372	ENSG00000288865	lncgDivg	1.1.1	188
ENSCAFG00845000113	ENSCAFG00845000094	lncgConv	1.1.1	1404	ENSG00000186020	ENSG00000228629	lncgConv	1.1.1	0
ENSCAFG00845000138	ENSCAFG00845000121	lncgSS.dw	1.1.1	460	ENSG00000197951	ENSG00000269793	lncgSS.dw	1.1.1	0
ENSCAFG00845000139	ENSCAFG00845000100	lncgDivg	1.1.1	148	ENSG00000111912	ENSG00000232131	lncgDivg	1.1.1	0
ENSCAFG00845000166	ENSCAFG00845000176	lncgConv	1.1.1	1239	ENSG00000151468	ENSG00000285520	lncgConv	1.1.1	0
ENSCAFG00845000191	ENSCAFG00845000262	lncgDivg	1.1.1	1739	ENSG00000256463	ENSG00000263146	lncgDivg	n.1.1	1935
ENSCAFG00845000212	ENSCAFG00845000198	lincDivg	1.1.1	13843	ENSG00000198961	ENSG00000248440	lincDivg	1.1.1	87903
ENSCAFG00845000212	ENSCAFG00845000198	lincDivg	1.1.1	13843	ENSG00000198961	ENSG00000251367	lincDivg	1.1.1	57379
ENSCAFG00845000212	ENSCAFG00845000198	lincDivg	1.1.1	13843	ENSG00000198961	ENSG00000248876	lincDivg	1.1.1	60869
ENSCAFG00845000212	ENSCAFG00845000192	lincDivg	n.1.1	33764	ENSG00000198961	ENSG00000248440	lincDivg	1.1.1	87903
ENSCAFG00845000212	ENSCAFG00845000192	lincDivg	n.1.1	33764	ENSG00000198961	ENSG00000251367	lincDivg	1.1.1	57379
ENSCAFG00845000212	ENSCAFG00845000192	lincDivg	n.1.1	33764	ENSG00000198961	ENSG00000248876	lincDivg	1.1.1	60869
ENSCAFG00845000212	ENSCAFG00845000186	lincDivg	1.1.1	96327	ENSG00000198961	ENSG00000248440	lincDivg	1.1.1	87903
ENSCAFG00845000212	ENSCAFG00845000186	lincDivg	1.1.1	96327	ENSG00000198961	ENSG00000251367	lincDivg	1.1.1	57379
ENSCAFG00845000212	ENSCAFG00845000186	lincDivg	1.1.1	96327	ENSG00000198961	ENSG00000248876	lincDivg	1.1.1	60869
ENSCAFG00845000295	ENSCAFG00845000314	lincSS.up	1.1.1	23225	ENSG00000140519	ENSG00000259218	lincSS.up	n.1.1	17999
ENSCAFG00845000424	ENSCAFG00845000388	lncgDivg	1.1.1	3145	ENSG00000155592	ENSG00000274925	lncgDivg	1.1.1	107
ENSCAFG00845000424	ENSCAFG00845000388	lncgDivg	1.1.1	3145	ENSG00000155592	ENSG00000259955	lncgDivg	1.1.1	0
ENSCAFG00845000506	ENSCAFG00845000496	lincSS.dw	1.1.1	23703	ENSG00000074771	ENSG00000232529	lincSS.dw	1.1.1	14185
ENSCAFG00845000590	ENSCAFG00845000556	lincDivg	1.1.1	20567	ENSG00000101493	ENSG00000266256	lincDivg	n.1.1	33410
ENSCAFG00845000590	ENSCAFG00845000571	lncgDivg	1.1.1	575	ENSG00000101493	ENSG00000265778	lncgDivg	n.1.1	0
