lncRNA	nbSpeciesMatch_tot	SpeciesMatch_tot	Homo_sapiens_isMatching	Canis_lupus_familiaris_isMatching	nbSpeciesMatch_set
ENSMUSG00000000031	21	Algerian mouse;Alpine marmot;Cat;Chinese hamster CHOK1GS;Dingo;Dog;Eurasian red squirrel;Goat;Guinea Pig;Horse;Hybrid - Bos Indicus;Leopard;Lion;Northern American deer mouse;Pig;Prairie vole;Rat;Ryukyu mouse;Shrew mouse;White-tufted-ear marmoset;Yarkand deer	0	1	1
ENSMUSG00000006462	6	Algerian mouse;Australian saltwater crocodile;Goodes thornscrub tortoise;Ryukyu mouse;Shrew mouse;Three-toed box turtle	0	0	0
ENSMUSG00000009551	59	Algerian mouse;Alpine marmot;Arabian camel;Argentine black and white tegu;Australian saltwater crocodile;Beluga whale;Blue whale;Bonobo;Cat;Chacoan peccary;Chicken;Chimpanzee;Chinese hamster CHOK1GS;Common canary;Common wall lizard;Crab-eating macaque;Dingo;Dog;Domestic yak;Duck;Eastern brown snake;Elephant;Eurasian red squirrel;Gibbon;Goat;Golden eagle;Goodes thornscrub tortoise;Gorilla;Great Tit;Greater horseshoe bat;Guinea Pig;Human;Hybrid - Bos Indicus;Indian cobra;Japanese quail;Kakapo;Leopard;Lion;Macaque;Mouse Lemur;Narwhal;Northern American deer mouse;Olive baboon;Opossum;Pig;Platypus;Prairie vole;Rat;Ryukyu mouse;Shrew mouse;Sperm whale;Sumatran orangutan;Three-toed box turtle;Turkey;Vaquita;Vervet-AGM;White-tufted-ear marmoset;Yarkand deer;Zebra finch	1	1	2
ENSMUSG00000010492	45	Algerian mouse;Alpine marmot;Arabian camel;Beluga whale;Blue whale;Bonobo;Cat;Chicken;Chimpanzee;Chinese hamster CHOK1GS;Common canary;Crab-eating macaque;Dingo;Dog;Domestic yak;Eastern brown snake;Eurasian red squirrel;Gibbon;Golden eagle;Goodes thornscrub tortoise;Gorilla;Great Tit;Greater horseshoe bat;Guinea Pig;Human;Indian cobra;Kakapo;Leopard;Lion;Macaque;Narwhal;Northern American deer mouse;Pig;Platypus;Prairie vole;Rabbit;Rat;Ryukyu mouse;Shrew mouse;Sumatran orangutan;Three-toed box turtle;Turkey;Vaquita;White-tufted-ear marmoset;Zebra finch	1	1	2
