gnId	nbTp	feelLncPcgClassName	feelLncPcgClassType	feelLncPcgGnId	feelLncPcgGnName	feelLncPcgGnDist	feelLncPcgClassNameByTp	feelLncPcgGnIdByTp	feelLncPcgGnNameByTp	feelLncPcgGnDistByTp
ENSCAFG00845015195	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845015208	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845015217	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845015230	1	lincSSdw	1.1.1	ENSCAFG00845030937	IL1RAPL1	71127	lincSSdw	ENSCAFG00845030937	IL1RAPL1	71127
ENSCAFG00845015240	1	lincConv	1.1.1	ENSCAFG00845030937	IL1RAPL1	71128	lincConv	ENSCAFG00845030937	IL1RAPL1	71128
ENSCAFG00845015261	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845015275	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845015297	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845015303	1	unclassified	unclassified	NA	NA	NA	unclassified	NA	NA	NA
ENSCAFG00845015316	1	lincDivg	1.1.1	ENSCAFG00845015457	GK	78188	lincDivg	ENSCAFG00845015457	GK	78188
ENSCAFG00845015329	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845015345	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845015364	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845015457	5	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845015511	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845015550	2	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845015575	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845015589	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845015610	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845015615	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845015631	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845015637	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845015642	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845015656	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845015677	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845015701	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845015745	3	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845015765	2	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845015773	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845015790	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845015792	4	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845015810	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845015820	1	lincSSup	1.1.1	ENSCAFG00845015838	NA	1278	lincSSup	ENSCAFG00845015838	NA	1278
ENSCAFG00845015838	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845015858	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845015864	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845015880	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845015893	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845015896	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845015897	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845015907	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845015918	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845015928	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845015935	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845015941	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845015955	2	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845015960	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845015967	1	unclassified	unclassified	NA	NA	NA	unclassified	NA	NA	NA
ENSCAFG00845015984	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845015987	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845015995	1	lincConv	1.1.1	ENSCAFG00845016176	IL13RA2	23571	lincConv	ENSCAFG00845016176	IL13RA2	23571
ENSCAFG00845016001	1	lincSSdw	1.1.1	ENSCAFG00845016176	IL13RA2	23571	lincSSdw	ENSCAFG00845016176	IL13RA2	23571
ENSCAFG00845016052	3	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845016080	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845016119	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845016152	1	lincConv	1.1.1	ENSCAFG00845016119	IL1RAPL2	875	lincConv	ENSCAFG00845016119	IL1RAPL2	875
ENSCAFG00845016162	2	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845016176	5	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845016183	2	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845016215	2	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845016294	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845016316	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845016329	1	lincSSup	1.1.1	ENSCAFG00845016395	CSTF2	47066	lincSSup	ENSCAFG00845016395	CSTF2	47066
ENSCAFG00845016362	1	lincSSdw	1.1.1	ENSCAFG00845016215	NRK	853	lincSSdw	ENSCAFG00845016215	NRK	853
ENSCAFG00845016368	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845016374	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
ENSCAFG00845016383	1	NA	unclassified	NA	NA	NA	NA	NA	NA	NA
