lncRNA	nbSpeciesMatch_tot	SpeciesMatch_tot	Mus_musculus_isMatching	Homo_sapiens_isMatching	nbSpeciesMatch_set
ENSCAFG00845000003	21	Australian saltwater crocodile;Cat;Common canary;Common wall lizard;Dingo;Eastern brown snake;Elephant;Golden eagle;Goodes thornscrub tortoise;Great Tit;Greater horseshoe bat;Horse;Indian cobra;Kakapo;Leopard;Lion;Pig;Platypus;Three-toed box turtle;Vaquita;Zebra finch	0	0	0
ENSCAFG00845000004	29	Arabian camel;Argentine black and white tegu;Australian saltwater crocodile;Beluga whale;Cat;Common canary;Common wall lizard;Dingo;Domestic yak;Eastern brown snake;Elephant;Golden eagle;Goodes thornscrub tortoise;Great Tit;Greater horseshoe bat;Green anole;Horse;Hybrid - Bos Indicus;Indian cobra;Kakapo;Leopard;Lion;Narwhal;Pig;Platypus;Three-toed box turtle;Vaquita;Yarkand deer;Zebra finch	0	0	0
ENSCAFG00845000005	29	Arabian camel;Argentine black and white tegu;Australian saltwater crocodile;Beluga whale;Cat;Common canary;Common wall lizard;Dingo;Domestic yak;Eastern brown snake;Elephant;Golden eagle;Goodes thornscrub tortoise;Great Tit;Greater horseshoe bat;Green anole;Horse;Hybrid - Bos Indicus;Indian cobra;Kakapo;Leopard;Lion;Narwhal;Pig;Platypus;Three-toed box turtle;Vaquita;Yarkand deer;Zebra finch	0	0	0
ENSCAFG00845000010	46	Algerian mouse;Alpine marmot;Arabian camel;Australian saltwater crocodile;Beluga whale;Blue whale;Bonobo;Cat;Chacoan peccary;Chicken;Crab-eating macaque;Dingo;Eastern brown snake;Elephant;Eurasian red squirrel;Gibbon;Goat;Golden eagle;Goodes thornscrub tortoise;Gorilla;Great Tit;Greater horseshoe bat;Guinea Pig;Horse;Human;Indian cobra;Japanese quail;Kakapo;Leopard;Lion;Mouse;Mouse Lemur;Narwhal;Olive baboon;Pig;Prairie vole;Ryukyu mouse;Sperm whale;Sumatran orangutan;Three-toed box turtle;Turkey;Vaquita;Vervet-AGM;White-tufted-ear marmoset;Yarkand deer;Zebra finch	1	1	2
