lncRNAid_Homo_sapiens	isTable_1_Canis_lupus_familiaris	orthology_type_synteny_Canis_lupus_familiaris	lncRNA_synteny_id_Canis_lupus_familiaris	isTable_2_Canis_lupus_familiaris	orthology_type_configuration_Canis_lupus_familiaris	configuration_type_configuration_Canis_lupus_familiaris	lncRNA_configuration_id_Canis_lupus_familiaris	isTable_3_Canis_lupus_familiaris
ENSG00000233645	1	one_to_one	ENSCAFG00845027520	0	NA	NA	NA	1
ENSG00000235643	1	many_to_one	ENSCAFG00845002375	0	NA	NA	NA	1
ENSG00000284708	1	many_to_one	ENSCAFG00845002375	0	NA	NA	NA	1
ENSG00000285833	1	one_to_many	ENSCAFG00845002361;ENSCAFG00845002369;ENSCAFG00845002381	0	NA	NA	NA	0
ENSG00000225643	1	one_to_one	ENSCAFG00845013749	0	NA	NA	NA	1
ENSG00000271398	1	one_to_one	ENSCAFG00845010655	1	one_to_one	lncgSS.dw	ENSCAFG00845010655	1
ENSG00000270605	1	one_to_one	ENSCAFG00845010651	0	NA	NA	NA	1
ENSG00000224592	1	many_to_many_DifferentNumber	ENSCAFG00845030198;ENSCAFG00845030208	1	one_to_one	lncgDivg	ENSCAFG00845030208	0
ENSG00000238063	1	many_to_many_DifferentNumber	ENSCAFG00845030198;ENSCAFG00845030208	0	NA	NA	NA	0
ENSG00000286552	1	many_to_many_DifferentNumber	ENSCAFG00845030198;ENSCAFG00845030208	0	NA	NA	NA	0
ENSG00000287987	1	many_to_many_DifferentNumber	ENSCAFG00845030198;ENSCAFG00845030208	0	NA	NA	NA	0
ENSG00000284632	1	many_to_one	ENSCAFG00845030192	0	NA	NA	NA	0
ENSG00000237290	1	many_to_one	ENSCAFG00845030192	0	NA	NA	NA	0
ENSG00000284623	1	many_to_one	ENSCAFG00845030192	0	NA	NA	NA	0
ENSG00000284743	1	many_to_one	ENSCAFG00845002702	0	NA	NA	NA	0
ENSG00000226664	1	many_to_one	ENSCAFG00845002702	0	NA	NA	NA	1
ENSG00000226487	1	many_to_one	ENSCAFG00845002702	0	NA	NA	NA	0
ENSG00000236963	1	many_to_one	ENSCAFG00845002702	1	one_to_one	lncgConv	ENSCAFG00845002702	0
ENSG00000230138	1	many_to_one	ENSCAFG00845016053	0	NA	NA	NA	1
ENSG00000226938	1	many_to_one	ENSCAFG00845016053	0	NA	NA	NA	1
ENSG00000236723	1	one_to_one	ENSCAFG00845017340	0	NA	NA	NA	1
ENSG00000284696	1	many_to_many_DifferentNumber	ENSCAFG00845025060;ENSCAFG00845025091	0	NA	NA	NA	1
ENSG00000233407	1	many_to_many_DifferentNumber	ENSCAFG00845025060;ENSCAFG00845025091	0	NA	NA	NA	1
ENSG00000237337	1	many_to_many_DifferentNumber	ENSCAFG00845025060;ENSCAFG00845025091	0	NA	NA	NA	1
ENSG00000226476	1	many_to_many_DifferentNumber	ENSCAFG00845005826;ENSCAFG00845005845;ENSCAFG00845005858	0	NA	NA	NA	0
ENSG00000231252	1	many_to_many_DifferentNumber	ENSCAFG00845005826;ENSCAFG00845005845;ENSCAFG00845005858	0	NA	NA	NA	1
ENSG00000233973	1	many_to_one	ENSCAFG00845004782	0	NA	NA	NA	1
ENSG00000227016	1	many_to_one	ENSCAFG00845004782	0	NA	NA	NA	1
ENSG00000223479	1	many_to_one	ENSCAFG00845004782	0	NA	NA	NA	1
ENSG00000285808	1	many_to_one	ENSCAFG00845004782	0	NA	NA	NA	1
ENSG00000231985	1	many_to_one	ENSCAFG00845004782	0	NA	NA	NA	1
ENSG00000286863	1	many_to_one	ENSCAFG00845004782	0	NA	NA	NA	1
ENSG00000285778	1	many_to_many_sameNumber	ENSCAFG00845004786;ENSCAFG00845004790;ENSCAFG00845004795	0	NA	NA	NA	1
ENSG00000225087	1	many_to_many_sameNumber	ENSCAFG00845004786;ENSCAFG00845004790;ENSCAFG00845004795	0	NA	NA	NA	1
ENSG00000228853	1	many_to_many_sameNumber	ENSCAFG00845004786;ENSCAFG00845004790;ENSCAFG00845004795	1	one_to_one	lncgSS.up	ENSCAFG00845004795	1
ENSG00000233602	1	one_to_many	ENSCAFG00845027308;ENSCAFG00845027333;ENSCAFG00845027348;ENSCAFG00845027362;ENSCAFG00845027380;ENSCAFG00845027392	0	NA	NA	NA	1
ENSG00000225446	1	many_to_many_DifferentNumber	ENSCAFG00845016868;ENSCAFG00845016895;ENSCAFG00845016905;ENSCAFG00845017002	1	many_to_many_strict	lincConv	ENSCAFG00845016905;ENSCAFG00845016895	0
ENSG00000287076	1	many_to_many_DifferentNumber	ENSCAFG00845016868;ENSCAFG00845016895;ENSCAFG00845016905;ENSCAFG00845017002	0	NA	NA	NA	0
ENSG00000285532	1	many_to_many_DifferentNumber	ENSCAFG00845016868;ENSCAFG00845016895;ENSCAFG00845016905;ENSCAFG00845017002	1	many_to_many_strict	lincConv	ENSCAFG00845016905;ENSCAFG00845016895	0
ENSG00000272094	1	many_to_many_DifferentNumber	ENSCAFG00845016883;ENSCAFG00845016890;ENSCAFG00845016970	1	one_to_one	lincSS.dw	ENSCAFG00845016890	0
ENSG00000233593	1	many_to_many_DifferentNumber	ENSCAFG00845016883;ENSCAFG00845016890;ENSCAFG00845016970	1	one_to_one	lincSS.up	ENSCAFG00845016970	0
ENSG00000286758	1	one_to_many	ENSCAFG00845019287;ENSCAFG00845019310	0	NA	NA	NA	0
ENSG00000237505	1	many_to_many_sameNumber	ENSCAFG00845019278;ENSCAFG00845019300	0	NA	NA	NA	0
ENSG00000227290	1	many_to_many_sameNumber	ENSCAFG00845019278;ENSCAFG00845019300	0	NA	NA	NA	0
ENSG00000226759	1	many_to_many_DifferentNumber	ENSCAFG00845007019;ENSCAFG00845007031;ENSCAFG00845007042;ENSCAFG00845007069;ENSCAFG00845007080;ENSCAFG00845007093;ENSCAFG00845007101;ENSCAFG00845007116;ENSCAFG00845007133;ENSCAFG00845007141;ENSCAFG00845007157;ENSCAFG00845007170;ENSCAFG00845007178;ENSCAFG00845007187;ENSCAFG00845007209;ENSCAFG00845007223;ENSCAFG00845007240;ENSCAFG00845007252;ENSCAFG00845007268;ENSCAFG00845007278;ENSCAFG00845007285;ENSCAFG00845007312;ENSCAFG00845007323;ENSCAFG00845007333;ENSCAFG00845007344;ENSCAFG00845007357;ENSCAFG00845007370;ENSCAFG00845007401;ENSCAFG00845007417;ENSCAFG00845007424;ENSCAFG00845007483;ENSCAFG00845007493;ENSCAFG00845007504;ENSCAFG00845007516;ENSCAFG00845007527;ENSCAFG00845007536;ENSCAFG00845007547;ENSCAFG00845007562;ENSCAFG00845007579;ENSCAFG00845007595;ENSCAFG00845007606;ENSCAFG00845013503;ENSCAFG00845013508;ENSCAFG00845013510;ENSCAFG00845013519;ENSCAFG00845013523;ENSCAFG00845013530;ENSCAFG00845013537;ENSCAFG00845013538;ENSCAFG00845013543	1	many_to_one	lncgDivg	ENSCAFG00845013543	1
ENSG00000227935	1	many_to_many_DifferentNumber	ENSCAFG00845007019;ENSCAFG00845007031;ENSCAFG00845007042;ENSCAFG00845007069;ENSCAFG00845007080;ENSCAFG00845007093;ENSCAFG00845007101;ENSCAFG00845007116;ENSCAFG00845007133;ENSCAFG00845007141;ENSCAFG00845007157;ENSCAFG00845007170;ENSCAFG00845007178;ENSCAFG00845007187;ENSCAFG00845007209;ENSCAFG00845007223;ENSCAFG00845007240;ENSCAFG00845007252;ENSCAFG00845007268;ENSCAFG00845007278;ENSCAFG00845007285;ENSCAFG00845007312;ENSCAFG00845007323;ENSCAFG00845007333;ENSCAFG00845007344;ENSCAFG00845007357;ENSCAFG00845007370;ENSCAFG00845007401;ENSCAFG00845007417;ENSCAFG00845007424;ENSCAFG00845007483;ENSCAFG00845007493;ENSCAFG00845007504;ENSCAFG00845007516;ENSCAFG00845007527;ENSCAFG00845007536;ENSCAFG00845007547;ENSCAFG00845007562;ENSCAFG00845007579;ENSCAFG00845007595;ENSCAFG00845007606;ENSCAFG00845013503;ENSCAFG00845013508;ENSCAFG00845013510;ENSCAFG00845013519;ENSCAFG00845013523;ENSCAFG00845013530;ENSCAFG00845013537;ENSCAFG00845013538;ENSCAFG00845013543	1	many_to_one	lncgDivg	ENSCAFG00845013543	1
